From	Entry	Entry Name	Protein names	Gene Names	Organism
"A0A1B0GUM4	Cyclin-dependent kinase-like 5"	A0A1B0GUM4	A0A1B0GUM4_HUMAN	Cyclin-dependent kinase-like 5 (EC 2.7.11.22)	CDKL5	Homo sapiens (Human)
"Q9H7D0	Dedicator of cytokinesis protein 5"	Q9H7D0	DOCK5_HUMAN	Dedicator of cytokinesis protein 5	DOCK5	Homo sapiens (Human)
"O76062	Delta(14)-sterol reductase TM7SF2"	O76062	ERG24_HUMAN	Delta(14)-sterol reductase TM7SF2 (Delta-14-SR) (EC 1.3.1.70) (3-beta-hydroxysterol Delta (14)-reductase) (Another new gene 1 protein) (C-14 sterol reductase (C14SR)) (Putative sterol reductase SR-1) (Sterol C14-reductase) (Transmembrane 7 superfamily member 2)	TM7SF2 ANG1	Homo sapiens (Human)
"I3L0R8	Derlin (Fragment)"	I3L0R8	I3L0R8_HUMAN	Derlin	DERL2	Homo sapiens (Human)
"P78527	DNA-dependent protein kinase catalytic subunit"	P78527	PRKDC_HUMAN	DNA-dependent protein kinase catalytic subunit (DNA-PK catalytic subunit) (DNA-PKcs) (EC 2.7.11.1) (DNPK1) (Ser-473 kinase (S473K)) (p460)	PRKDC HYRC HYRC1	Homo sapiens (Human)
"P50570	Dynamin-2"	P50570	DYN2_HUMAN	Dynamin-2 (EC 3.6.5.5) (Dynamin 2) (Dynamin II)	DNM2 DYN2	Homo sapiens (Human)
"A8MUM1	EARP and GARP complex-interacting protein 1"	A8MUM1	A8MUM1_HUMAN	EARP and GARP complex-interacting protein 1 (Endosome-associated recycling protein-interacting protein) (Golgi-associated retrograde protein-interacting protein) (Tumor-suppressing STF cDNA 1 protein) (Tumor-suppressing subchromosomal transferable fragment candidate gene 1 protein)	EIPR1	Homo sapiens (Human)
"P51114	Fragile X mental retardation syndrome-related protein 1"	P51114	FXR1_HUMAN	RNA-binding protein FXR1 (FMR1 autosomal homolog 1) (hFXR1p)	FXR1	Homo sapiens (Human)
"P04075	Fructose-bisphosphate aldolase A"	P04075	ALDOA_HUMAN	Fructose-bisphosphate aldolase A (EC 4.1.2.13) (Lung cancer antigen NY-LU-1) (Muscle-type aldolase)	ALDOA ALDA	Homo sapiens (Human)
"P09972	Fructose-bisphosphate aldolase C"	P09972	ALDOC_HUMAN	Fructose-bisphosphate aldolase C (EC 4.1.2.13) (Brain-type aldolase)	ALDOC ALDC	Homo sapiens (Human)
"Q02539	Histone H1.1"	Q02539	H11_HUMAN	Histone H1.1 (Histone H1a)	H1-1 H1F1 HIST1H1A	Homo sapiens (Human)
"Q8WZA9	Immunity-related GTPase family Q protein"	Q8WZA9	IRGQ_HUMAN	Immunity-related GTPase family Q protein	IRGQ IRGQ1	Homo sapiens (Human)
"P01768	Immunoglobulin heavy variable 3-30"	P01768	HV330_HUMAN	Immunoglobulin heavy variable 3-30 (Ig heavy chain V-III region BUR) (Ig heavy chain V-III region CAM) (Ig heavy chain V-III region GA) (Ig heavy chain V-III region NIE)	IGHV3-30	Homo sapiens (Human)
"Q14653	Interferon regulatory factor 3"	Q14653	IRF3_HUMAN	Interferon regulatory factor 3 (IRF-3)	IRF3	Homo sapiens (Human)
"Q14766	Isoform 3 of Latent-transforming growth factor beta-binding protein 1"	Q14766	LTBP1_HUMAN	Latent-transforming growth factor beta-binding protein 1 (LTBP-1) (Transforming growth factor beta-1-binding protein 1 (TGF-beta1-BP-1))	LTBP1	Homo sapiens (Human)
"Q93084	Isoform SERCA3A of Sarcoplasmic/endoplasmic reticulum calcium ATPase 3"	Q93084	AT2A3_HUMAN	Sarcoplasmic/endoplasmic reticulum calcium ATPase 3 (SERCA3) (SR Ca(2+)-ATPase 3) (EC 7.2.2.10) (Calcium pump 3)	ATP2A3	Homo sapiens (Human)
"Q9NQT8	Kinesin-like protein KIF13B"	Q9NQT8	KI13B_HUMAN	Kinesin-like protein KIF13B (Kinesin-like protein GAKIN)	KIF13B GAKIN KIAA0639	Homo sapiens (Human)
"Q14766	Latent-transforming growth factor beta-binding protein 1"	Q14766	LTBP1_HUMAN	Latent-transforming growth factor beta-binding protein 1 (LTBP-1) (Transforming growth factor beta-1-binding protein 1 (TGF-beta1-BP-1))	LTBP1	Homo sapiens (Human)
