From	Entry	Entry Name	Protein names	Gene Names	Organism
"POM121C	Nuclear envelope pore membrane protein POM 121C"	A8CG34	P121C_HUMAN	Nuclear envelope pore membrane protein POM 121C (Nuclear pore membrane protein 121-2 (POM121-2)) (Pore membrane protein of 121 kDa C)	POM121C	Homo sapiens (Human)
"NASP	Nuclear autoantigenic sperm protein"	P49321	NASP_HUMAN	Nuclear autoantigenic sperm protein (NASP)	NASP	Homo sapiens (Human)
"HNRNPK	Heterogeneous nuclear ribonucleoprotein K"	P61978	HNRPK_HUMAN	Heterogeneous nuclear ribonucleoprotein K (hnRNP K) (Transformation up-regulated nuclear protein (TUNP))	HNRNPK HNRPK	Homo sapiens (Human)
"FUS	RNA-binding protein FUS"	P35637	FUS_HUMAN	RNA-binding protein FUS (75 kDa DNA-pairing protein) (Oncogene FUS) (Oncogene TLS) (POMp75) (Translocated in liposarcoma protein)	FUS TLS	Homo sapiens (Human)
"ZCCHC2	Zinc finger CCHC domain-containing protein 2"	Q9C0B9	ZCHC2_HUMAN	Zinc finger CCHC domain-containing protein 2	ZCCHC2 C18orf49 KIAA1744	Homo sapiens (Human)
"DHX15	Pre-mRNA-splicing factor ATP-dependent RNA helicase"	O43143	DHX15_HUMAN	ATP-dependent RNA helicase DHX15 (EC 3.6.4.13) (ATP-dependent RNA helicase #46) (DEAH box protein 15) (Splicing factor Prp43 (hPrp43))	DHX15 DBP1 DDX15	Homo sapiens (Human)
"TRIM46	Tripartite motif-containing protein 46"	Q7Z4K8	TRI46_HUMAN	Tripartite motif-containing protein 46 (Gene Y protein (GeneY)) (Tripartite, fibronectin type-III and C-terminal SPRY motif protein)	TRIM46 TRIFIC	Homo sapiens (Human)
"CSNK2A2	Casein kinase II subunit alpha'"	P19784	CSK22_HUMAN	Casein kinase II subunit alpha' (CK II alpha') (EC 2.7.11.1)	CSNK2A2 CK2A2	Homo sapiens (Human)
"HNRNPM	Heterogeneous nuclear ribonucleoprotein M"	P52272	HNRPM_HUMAN	Heterogeneous nuclear ribonucleoprotein M (hnRNP M)	HNRNPM HNRPM NAGR1	Homo sapiens (Human)
"EWSR1	RNA-binding protein EWS"	Q01844	EWS_HUMAN	RNA-binding protein EWS (EWS oncogene) (Ewing sarcoma breakpoint region 1 protein)	EWSR1 EWS	Homo sapiens (Human)
"KRI1	Protein KRI1 homolog"	Q8N9T8	KRI1_HUMAN	Protein KRI1 homolog	KRI1	Homo sapiens (Human)
"LDHA	L-lactate dehydrogenase A chain"	P00338	LDHA_HUMAN	L-lactate dehydrogenase A chain (LDH-A) (EC 1.1.1.27) (Cell proliferation-inducing gene 19 protein) (LDH muscle subunit (LDH-M)) (Renal carcinoma antigen NY-REN-59)	LDHA	Homo sapiens (Human)
"ESPNL	Espin-like protein"	Q6ZVH7	ESPNL_HUMAN	Espin-like protein	ESPNL	Homo sapiens (Human)
"MSH6	DNA mismatch repair protein Msh6"	P52701	MSH6_HUMAN	DNA mismatch repair protein Msh6 (hMSH6) (G/T mismatch-binding protein (GTBP) (GTMBP)) (MutS protein homolog 6) (MutS-alpha 160 kDa subunit (p160))	MSH6 GTBP	Homo sapiens (Human)
"ILF2	Interleukin enhancer-binding factor 2"	Q12905	ILF2_HUMAN	Interleukin enhancer-binding factor 2 (Nuclear factor of activated T-cells 45 kDa)	ILF2 NF45	Homo sapiens (Human)
"PRDX1	Peroxiredoxin-1"	Q06830	PRDX1_HUMAN	Peroxiredoxin-1 (EC 1.11.1.24) (Natural killer cell-enhancing factor A (NKEF-A)) (Proliferation-associated gene protein (PAG)) (Thioredoxin peroxidase 2) (Thioredoxin-dependent peroxide reductase 2) (Thioredoxin-dependent peroxiredoxin 1)	PRDX1 PAGA PAGB TDPX2	Homo sapiens (Human)
"MAK16	Protein MAK16 homolog OS"	Q9BXY0	MAK16_HUMAN	Protein MAK16 homolog (NNP78) (Protein RBM13)	MAK16 RBM13	Homo sapiens (Human)
"HNRNPU	Heterogeneous nuclear ribonucleoprotein U"	Q00839	HNRPU_HUMAN	Heterogeneous nuclear ribonucleoprotein U (hnRNP U) (GRIP120) (Nuclear p120 ribonucleoprotein) (Scaffold-attachment factor A (SAF-A)) (p120) (pp120)	HNRNPU C1orf199 HNRPU SAFA U21.1	Homo sapiens (Human)
"RECQL5	ATP-dependent DNA helicase"	O94762	RECQ5_HUMAN	ATP-dependent DNA helicase Q5 (EC 5.6.2.4) (DNA 3'-5' helicase RecQ5) (DNA helicase, RecQ-like type 5 (RecQ5)) (RecQ protein-like 5)	RECQL5 RECQ5	Homo sapiens (Human)
"EEF2	Elongation factor 2"	P13639	EF2_HUMAN	Elongation factor 2 (EF-2) (EC 3.6.5.-)	EEF2 EF2	Homo sapiens (Human)
"HIST1H2BN	Histone H2B"	Q99877	H2B1N_HUMAN	Histone H2B type 1-N (Histone H2B.d (H2B/d))	H2BC15 H2BFD HIST1H2BN	Homo sapiens (Human)
"BAZ1B	Tyrosine-protein kinase BAZ1B"	Q9UIG0	BAZ1B_HUMAN	Tyrosine-protein kinase BAZ1B (EC 2.7.10.2) (Bromodomain adjacent to zinc finger domain protein 1B) (Williams syndrome transcription factor) (Williams-Beuren syndrome chromosomal region 10 protein) (Williams-Beuren syndrome chromosomal region 9 protein) (hWALp2)	BAZ1B WBSC10 WBSCR10 WBSCR9 WSTF	Homo sapiens (Human)
"ATXN10	Ataxin-10"	Q9UBB4	ATX10_HUMAN	Ataxin-10 (Brain protein E46 homolog) (Spinocerebellar ataxia type 10 protein)	ATXN10 SCA10	Homo sapiens (Human)
"PHLPP1	PH domain leucine-rich repeat-containing protein phosphatase 1"	O60346	PHLP1_HUMAN	PH domain leucine-rich repeat-containing protein phosphatase 1 (EC 3.1.3.16) (Pleckstrin homology domain-containing family E member 1 (PH domain-containing family E member 1)) (Suprachiasmatic nucleus circadian oscillatory protein (hSCOP))	PHLPP1 KIAA0606 PHLPP PLEKHE1 SCOP	Homo sapiens (Human)
"SUPT6H	Transcription elongation factor SPT6"	Q7KZ85	SPT6H_HUMAN	Transcription elongation factor SPT6 (hSPT6) (Histone chaperone suppressor of Ty6) (Tat-cotransactivator 2 protein (Tat-CT2 protein))	SUPT6H KIAA0162 SPT6H	Homo sapiens (Human)
"KCTD9	BTB/POZ domain-containing protein KCTD9"	Q7L273	KCTD9_HUMAN	BTB/POZ domain-containing protein KCTD9	KCTD9	Homo sapiens (Human)
"CPXM2	Inactive carboxypeptidase-like protein X2"	Q8N436	CPXM2_HUMAN	Inactive carboxypeptidase-like protein X2	CPXM2 CPX2	Homo sapiens (Human)
"USP5	Ubiquitin carboxyl-terminal hydrolase 5"	P45974	UBP5_HUMAN	Ubiquitin carboxyl-terminal hydrolase 5 (EC 3.4.19.12) (Deubiquitinating enzyme 5) (Isopeptidase T) (Ubiquitin thioesterase 5) (Ubiquitin-specific-processing protease 5)	USP5 ISOT	Homo sapiens (Human)
"ZFR	Zinc finger RNA-binding protein"	Q96KR1	ZFR_HUMAN	Zinc finger RNA-binding protein (hZFR) (M-phase phosphoprotein homolog)	ZFR	Homo sapiens (Human)
"NPIPA2	Nuclear pore complex-interacting protein family member A2"	E9PIF3	NPIA2_HUMAN	Nuclear pore complex-interacting protein family member A2	NPIPA2	Homo sapiens (Human)
"MYO15A	Unconventional myosin-XV"	Q9UKN7	MYO15_HUMAN	Unconventional myosin-XV (Unconventional myosin-15)	MYO15A MYO15	Homo sapiens (Human)
"AGBL4	Cytosolic carboxypeptidase 6"	Q5VU57	CBPC6_HUMAN	Cytosolic carboxypeptidase 6 (EC 3.4.17.24) (ATP/GTP-binding protein-like 4) (Protein deglutamylase CCP6)	AGBL4 CCP6	Homo sapiens (Human)
"HAGH	Hydroxyacylglutathione hydrolase, mitochondrial"	Q16775	GLO2_HUMAN	Hydroxyacylglutathione hydrolase, mitochondrial (EC 3.1.2.6) (Glyoxalase II (Glx II))	HAGH GLO2 HAGH1	Homo sapiens (Human)
"ZNF513	Zinc finger protein 513"	Q8N8E2	ZN513_HUMAN	Zinc finger protein 513	ZNF513	Homo sapiens (Human)
"ZNF345	Zinc finger protein 345"	Q14585	ZN345_HUMAN	Zinc finger protein 345 (Zinc finger protein HZF10)	ZNF345	Homo sapiens (Human)
"SRP54	Signal recognition particle 54 kDa protein"	P61011	SRP54_HUMAN	Signal recognition particle subunit SRP54 (EC 3.6.5.4) (Signal recognition particle 54 kDa protein)	SRP54	Homo sapiens (Human)
"UBA52	Ubiquitin-60S ribosomal protein L40"	P62987	RL40_HUMAN	Ubiquitin-ribosomal protein eL40 fusion protein (CEP52) (Ubiquitin A-52 residue ribosomal protein fusion product 1)	UBA52 UBCEP2	Homo sapiens (Human)
"MYD88	Myeloid differentiation primary response protein MyD88"	Q99836	MYD88_HUMAN	Myeloid differentiation primary response protein MyD88	MYD88	Homo sapiens (Human)
"LOC105372343	Uncharacterized protein"					
"RPUSD3	RNA pseudouridylate synthase domain-containing protein 3"	Q6P087	RUSD3_HUMAN	Mitochondrial mRNA pseudouridine synthase RPUSD3 (EC 5.4.99.-) (RNA pseudouridylate synthase domain-containing protein 3)	RPUSD3	Homo sapiens (Human)
"DOCK2	Dedicator of cytokinesis protein 2"	Q92608	DOCK2_HUMAN	Dedicator of cytokinesis protein 2	DOCK2 KIAA0209	Homo sapiens (Human)
"TRIT1	tRNA dimethylallyltransferase, mitochondrial"	Q9H3H1	MOD5_HUMAN	tRNA dimethylallyltransferase (EC 2.5.1.75) (Isopentenyl-diphosphate:tRNA isopentenyltransferase (IPP transferase) (IPPT)) (hGRO1) (tRNA isopentenyltransferase 1 (IPTase))	TRIT1 IPT MOD5	Homo sapiens (Human)
"SPEN	Msx2-interacting protein"	Q96T58	MINT_HUMAN	Msx2-interacting protein (SMART/HDAC1-associated repressor protein) (SPEN homolog)	SPEN KIAA0929 MINT SHARP	Homo sapiens (Human)
"DSP	Desmoplakin"	P15924	DESP_HUMAN	Desmoplakin (DP) (250/210 kDa paraneoplastic pemphigus antigen)	DSP	Homo sapiens (Human)
"ANKRD1	Ankyrin repeat domain-containing protein 1"	Q15327	ANKR1_HUMAN	Ankyrin repeat domain-containing protein 1 (Cardiac ankyrin repeat protein) (Cytokine-inducible gene C-193 protein) (Cytokine-inducible nuclear protein)	ANKRD1 C193 CARP HA1A2	Homo sapiens (Human)
"POLR1A	DNA-directed RNA polymerase subunit"	O95602	RPA1_HUMAN	DNA-directed RNA polymerase I subunit RPA1 (RNA polymerase I subunit A1) (EC 2.7.7.6) (A190) (DNA-directed RNA polymerase I largest subunit) (DNA-directed RNA polymerase I subunit A) (RNA polymerase I 194 kDa subunit (RPA194))	POLR1A	Homo sapiens (Human)
"MYO18A	Unconventional myosin-XVIIIa"	Q92614	MY18A_HUMAN	Unconventional myosin-XVIIIa (Molecule associated with JAK3 N-terminus (MAJN)) (Myosin containing a PDZ domain) (Surfactant protein receptor SP-R210 (SP-R210))	MYO18A CD245 KIAA0216 MYSPDZ TIAF1	Homo sapiens (Human)
"AKAP6	A-kinase anchor protein 6"	Q13023	AKAP6_HUMAN	A-kinase anchor protein 6 (AKAP-6) (A-kinase anchor protein 100 kDa (AKAP 100)) (Protein kinase A-anchoring protein 6 (PRKA6)) (mAKAP)	AKAP6 AKAP100 KIAA0311	Homo sapiens (Human)
"PARD3B	Partitioning defective 3 homolog B"	Q8TEW8	PAR3L_HUMAN	Partitioning defective 3 homolog B (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 19 protein) (PAR3-beta) (Partitioning defective 3-like protein (PAR3-L protein))	PARD3B ALS2CR19 PAR3B PAR3L	Homo sapiens (Human)
"IFT172	Intraflagellar transport protein 172 homolog"	Q9UG01	IF172_HUMAN	Intraflagellar transport protein 172 homolog	IFT172 KIAA1179	Homo sapiens (Human)
"TOP2B	DNA topoisomerase 2"	Q02880	TOP2B_HUMAN	DNA topoisomerase 2-beta (EC 5.6.2.2) (DNA topoisomerase II, beta isozyme)	TOP2B	Homo sapiens (Human)
"KLHL33	Kelch-like protein 33"	A6NCF5	KLH33_HUMAN	Kelch-like protein 33	KLHL33	Homo sapiens (Human)
"ANKS3	Ankyrin repeat and SAM domain-containing protein 3"	Q6ZW76	ANKS3_HUMAN	Ankyrin repeat and SAM domain-containing protein 3	ANKS3 KIAA1977	Homo sapiens (Human)
"ACKR2	Atypical chemokine receptor 2"	O00590	ACKR2_HUMAN	Atypical chemokine receptor 2 (C-C chemokine receptor D6) (Chemokine receptor CCR-10) (Chemokine receptor CCR-9) (Chemokine-binding protein 2) (Chemokine-binding protein D6)	ACKR2 CCBP2 CCR10 CMKBR9 D6	Homo sapiens (Human)
"CPE	Carboxypeptidase E"	P16870	CBPE_HUMAN	Carboxypeptidase E (CPE) (EC 3.4.17.10) (Carboxypeptidase H (CPH)) (Enkephalin convertase) (Prohormone-processing carboxypeptidase)	CPE	Homo sapiens (Human)
"GPD2	Glycerol-3-phosphate dehydrogenase, mitochondrial"	P43304	GPDM_HUMAN	Glycerol-3-phosphate dehydrogenase, mitochondrial (GPD-M) (GPDH-M) (EC 1.1.5.3) (mitochondrial glycerophosphate dehydrogenase gene (mGDH)) (mtGPD)	GPD2	Homo sapiens (Human)
"CHD3	Chromodomain-helicase-DNA-binding protein 3"	Q12873	CHD3_HUMAN	ATP-dependent chromatin remodeler CHD3 (EC 3.6.4.-) (Chromo domain-containing protein 3 (CHD-3)) (Mi-2 autoantigen 240 kDa protein) (Mi2-alpha) (Zinc finger helicase-like (hZFH))	CHD3	Homo sapiens (Human)
"SLC39A11	Zinc transporter ZIP11"	Q8N1S5	S39AB_HUMAN	Zinc transporter ZIP11 (Solute carrier family 39 member 11) (Zrt- and Irt-like protein 11 (ZIP-11))	SLC39A11 C17orf26 ZIP11	Homo sapiens (Human)
"TEX33	Testis-expressed protein 33"	O43247	CMIP4_HUMAN	Ciliary microtubule inner protein 4 (Testis-expressed protein 33)	CIMIP4 C22orf33 EAN57 TEX33	Homo sapiens (Human)
"MBIP	MAP3K12-binding inhibitory protein 1"	Q9NS73	MBIP1_HUMAN	MAP3K12-binding inhibitory protein 1 (MAPK upstream kinase-binding inhibitory protein (MUK-binding inhibitory protein))	MBIP	Homo sapiens (Human)
"PRX	Periaxin"	Q9BXM0	PRAX_HUMAN	Periaxin	PRX KIAA1620	Homo sapiens (Human)
"MAP7	Ensconsin"	Q14244	MAP7_HUMAN	Ensconsin (Epithelial microtubule-associated protein of 115 kDa (E-MAP-115)) (Microtubule-associated protein 7 (MAP-7))	MAP7	Homo sapiens (Human)
