From	Entry	Entry Name	Protein names	Gene Names	Organism
"P55199	RNA polymerase II elongation factor ELL"	P55199	ELL_HUMAN	RNA polymerase II elongation factor ELL (Eleven-nineteen lysine-rich leukemia protein)	ELL C19orf17	Homo sapiens (Human)
"P38159	RNA-binding motif protein, X chromosome"	P38159	RBMX_HUMAN	RNA-binding motif protein, X chromosome (Glycoprotein p43) (Heterogeneous nuclear ribonucleoprotein G (hnRNP G))	RBMX HNRPG RBMXP1	Homo sapiens (Human)
"Q9Y388	RNA-binding motif protein, X-linked 2"	Q9Y388	RBMX2_HUMAN	RNA-binding motif protein, X-linked 2	RBMX2	Homo sapiens (Human)
"Q96EV2	RNA-binding protein 33"	Q96EV2	RBM33_HUMAN	RNA-binding protein 33 (Proline-rich protein 8) (RNA-binding motif protein 33)	RBM33 PRR8	Homo sapiens (Human)
"A2A2V2	RNA-binding protein 34 (Fragment)"	A2A2V2	A2A2V2_HUMAN	RNA-binding protein 34 (RNA-binding motif protein 34)	RBM34	Homo sapiens (Human)
"P35637	RNA-binding protein FUS"	P35637	FUS_HUMAN	RNA-binding protein FUS (75 kDa DNA-pairing protein) (Oncogene FUS) (Oncogene TLS) (POMp75) (Translocated in liposarcoma protein)	FUS TLS	Homo sapiens (Human)
"Q9Y3I0	RNA-splicing ligase RtcB homolog"	Q9Y3I0	RTCB_HUMAN	RNA-splicing ligase RTCB (EC 6.5.1.8) (3'-phosphate/5'-hydroxy nucleic acid ligase) (RNA 2',3'-cyclic phosphate and 5'-OH ligase)	RTCB C22orf28	Homo sapiens (Human)
"Q9HC36	rRNA methyltransferase 3, mitochondrial"	Q9HC36	MRM3_HUMAN	rRNA methyltransferase 3, mitochondrial (EC 2.1.1.-) (16S rRNA (guanosine(1370)-2'-O)-methyltransferase) (16S rRNA [Gm1370] 2'-O-methyltransferase) (RNA methyltransferase-like protein 1)	MRM3 RNMTL1	Homo sapiens (Human)
"A0A0X1KG73	Ryanodine receptor 3"	A0A0X1KG73	A0A0X1KG73_HUMAN	Ryanodine receptor 3 (Brain ryanodine receptor-calcium release channel) (Brain-type ryanodine receptor) (Type 3 ryanodine receptor)	RYR3	Homo sapiens (Human)
"P16615	Sarcoplasmic/endoplasmic reticulum calcium ATPase 2"	P16615	AT2A2_HUMAN	Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 (SERCA2) (SR Ca(2+)-ATPase 2) (EC 7.2.2.10) (Calcium pump 2) (Calcium-transporting ATPase sarcoplasmic reticulum type, slow twitch skeletal muscle isoform) (Endoplasmic reticulum class 1/2 Ca(2+) ATPase)	ATP2A2 ATP2B	Homo sapiens (Human)
"P57772	Selenocysteine-specific elongation factor"	P57772	SELB_HUMAN	Selenocysteine-specific elongation factor (EC 3.6.5.-) (Elongation factor sec) (Eukaryotic elongation factor, selenocysteine-tRNA-specific)	EEFSEC SELB	Homo sapiens (Human)
"Q9BRL6	Serine/arginine-rich splicing factor 8"	Q9BRL6	SRSF8_HUMAN	Serine/arginine-rich splicing factor 8 (Pre-mRNA-splicing factor SRP46 (Splicing factor SRp46)) (Splicing factor, arginine/serine-rich 2B)	SRSF8 SFRS2B SRP46	Homo sapiens (Human)
"J3KP15	Serine/arginine-rich-splicing factor 2 (Fragment)"	J3KP15	J3KP15_HUMAN	Serine/arginine-rich splicing factor 2 (Splicing component, 35 kDa) (Splicing factor SC35) (Splicing factor, arginine/serine-rich 2)	SRSF2	Homo sapiens (Human)
"Q8N1F8	Serine/threonine-protein kinase 11-interacting protein"	Q8N1F8	S11IP_HUMAN	Serine/threonine-protein kinase 11-interacting protein (LKB1-interacting protein 1)	STK11IP KIAA1898 LIP1 LKB1IP STK11IP1	Homo sapiens (Human)
"Q96Q15	Serine/threonine-protein kinase SMG1"	Q96Q15	SMG1_HUMAN	Serine/threonine-protein kinase SMG1 (SMG-1) (hSMG-1) (EC 2.7.11.1) (Lambda/iota protein kinase C-interacting protein (Lambda-interacting protein)) (Nonsense mediated mRNA decay-associated PI3K-related kinase SMG1)	SMG1 ATX KIAA0421 LIP	Homo sapiens (Human)
"Q96QC0	Serine/threonine-protein phosphatase 1 regulatory subunit 10"	Q96QC0	PP1RA_HUMAN	Serine/threonine-protein phosphatase 1 regulatory subunit 10 (MHC class I region proline-rich protein CAT53) (PP1-binding protein of 114 kDa) (Phosphatase 1 nuclear targeting subunit) (p99)	PPP1R10 CAT53 FB19 PNUTS	Homo sapiens (Human)
"O15084	Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A"	O15084	ANR28_HUMAN	Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A (PP6-ARS-A) (Serine/threonine-protein phosphatase 6 regulatory subunit ARS-A) (Ankyrin repeat domain-containing protein 28) (Phosphatase interactor targeting protein hnRNP K (PITK))	ANKRD28 KIAA0379	Homo sapiens (Human)
"P62136	Serine/threonine-protein phosphatase PP1-alpha catalytic subunit"	P62136	PP1A_HUMAN	Serine/threonine-protein phosphatase PP1-alpha catalytic subunit (PP-1A) (EC 3.1.3.16)	PPP1CA PPP1A	Homo sapiens (Human)
"P62140	Serine/threonine-protein phosphatase PP1-beta catalytic subunit"	P62140	PP1B_HUMAN	Serine/threonine-protein phosphatase PP1-beta catalytic subunit (PP-1B) (PPP1CD) (EC 3.1.3.16) (EC 3.1.3.53)	PPP1CB	Homo sapiens (Human)
"Q8IYR2	SET and MYND domain-containing protein 4"	Q8IYR2	SMYD4_HUMAN	Protein-lysine N-methyltransferase SMYD4 (EC 2.1.1.-) (SET and MYND domain-containing protein 4)	SMYD4 KIAA1936	Homo sapiens (Human)
"Q5T123	SH3 domain-binding glutamic acid-rich-like protein 3"	Q5T123	Q5T123_HUMAN	SH3 domain-binding glutamic acid-rich-like protein 3	SH3BGRL3	Homo sapiens (Human)
"A0A087WYR0	Signal recognition particle 19 kDa protein"	A0A087WYR0	A0A087WYR0_HUMAN	Signal recognition particle 19 kDa protein	SRP19	Homo sapiens (Human)
"O75886	Signal transducing adapter molecule 2"	O75886	STAM2_HUMAN	Signal transducing adapter molecule 2 (STAM-2) (Hrs-binding protein)	STAM2 HBP	Homo sapiens (Human)
"Q9NTI5	Sister chromatid cohesion protein PDS5 homolog B"	Q9NTI5	PDS5B_HUMAN	Sister chromatid cohesion protein PDS5 homolog B (Androgen-induced proliferation inhibitor) (Androgen-induced prostate proliferative shutoff-associated protein AS3)	PDS5B APRIN AS3 KIAA0979	Homo sapiens (Human)
"P14678	Small nuclear ribonucleoprotein-associated proteins B and B'"	P14678	RSMB_HUMAN	Small nuclear ribonucleoprotein-associated proteins B and B' (snRNP-B) (Sm protein B/B' (Sm-B/B') (SmB/B'))	SNRPB COD SNRPB1	Homo sapiens (Human)
"Q96NL6	Sodium channel and clathrin linker 1"	Q96NL6	SCLT1_HUMAN	Sodium channel and clathrin linker 1 (Sodium channel-associated protein 1)	SCLT1 SAP1	Homo sapiens (Human)
"P05023	Sodium/potassium-transporting ATPase subunit alpha-1"	P05023	AT1A1_HUMAN	Sodium/potassium-transporting ATPase subunit alpha-1 (Na(+)/K(+) ATPase alpha-1 subunit) (EC 7.2.2.13) (Sodium pump subunit alpha-1)	ATP1A1	Homo sapiens (Human)
"Q8TEQ0	Sorting nexin-29"	Q8TEQ0	SNX29_HUMAN	Sorting nexin-29 (RUN domain-containing protein 2A)	SNX29 RUNDC2A	Homo sapiens (Human)
"Q13813	Spectrin alpha chain, non-erythrocytic 1"	Q13813	SPTN1_HUMAN	Spectrin alpha chain, non-erythrocytic 1 (Alpha-II spectrin) (Fodrin alpha chain) (Spectrin, non-erythroid alpha subunit)	SPTAN1 NEAS SPTA2	Homo sapiens (Human)
"Q01082	Spectrin beta chain, non-erythrocytic 1"	Q01082	SPTB2_HUMAN	Spectrin beta chain, non-erythrocytic 1 (Beta-II spectrin) (Fodrin beta chain) (Spectrin, non-erythroid beta chain 1)	SPTBN1 SPTB2	Homo sapiens (Human)
"P19623	Spermidine synthase"	P19623	SPEE_HUMAN	Spermidine synthase (SPDSY) (EC 2.5.1.16) (Putrescine aminopropyltransferase)	SRM SPS1 SRML1	Homo sapiens (Human)
"O75533	Splicing factor 3B subunit 1"	O75533	SF3B1_HUMAN	Splicing factor 3B subunit 1 (Pre-mRNA-splicing factor SF3b 155 kDa subunit (SF3b155)) (Spliceosome-associated protein 155 (SAP 155))	SF3B1 SAP155	Homo sapiens (Human)
"H0YEX5	Splicing factor 3B subunit 2 (Fragment)"	H0YEX5	H0YEX5_HUMAN	Splicing factor 3b subunit 2	SF3B2	Homo sapiens (Human)
"P23246	Splicing factor, proline- and glutamine-rich"	P23246	SFPQ_HUMAN	Splicing factor, proline- and glutamine-rich (100 kDa DNA-pairing protein (hPOMp100)) (DNA-binding p52/p100 complex, 100 kDa subunit) (Polypyrimidine tract-binding protein-associated-splicing factor (PSF) (PTB-associated-splicing factor))	SFPQ PSF	Homo sapiens (Human)
