From	Entry	Entry Name	Protein names	Gene Names	Organism
"Q09472	Histone acetyltransferase p300"	Q09472	EP300_HUMAN	Histone acetyltransferase p300 (p300 HAT) (EC 2.3.1.48) (E1A-associated protein p300) (Histone butyryltransferase p300 (EC 2.3.1.-)) (Histone crotonyltransferase p300 (EC 2.3.1.-)) (Protein 2-hydroxyisobutyryltransferase p300 (EC 2.3.1.-)) (Protein isonicotinyltransferase p300 (EC 2.3.1.-)) (Protein lactyltransferas p300 (EC 2.3.1.-)) (Protein propionyltransferase p300 (EC 2.3.1.-))	EP300 P300	Homo sapiens (Human)
"Q02539	Histone H1.1"	Q02539	H11_HUMAN	Histone H1.1 (Histone H1a)	H1-1 H1F1 HIST1H1A	Homo sapiens (Human)
"Q8WY36	HMG box transcription factor BBX"	Q8WY36	BBX_HUMAN	HMG box transcription factor BBX (Bobby sox homolog) (HMG box-containing protein 2)	BBX HBP2	Homo sapiens (Human)
"P06213	Insulin receptor"	P06213	INSR_HUMAN	Insulin receptor (IR) (EC 2.7.10.1)	INSR	Homo sapiens (Human)
"O95466	Isoform 2 of Formin-like protein 1"	O95466	FMNL1_HUMAN	Formin-like protein 1 (CLL-associated antigen KW-13) (Leukocyte formin)	FMNL1 C17orf1 C17orf1B FMNL FRL1	Homo sapiens (Human)
"P51991	Isoform 2 of Heterogeneous nuclear ribonucleoprotein A3"	P51991	ROA3_HUMAN	Heterogeneous nuclear ribonucleoprotein A3 (hnRNP A3)	HNRNPA3 HNRPA3	Homo sapiens (Human)
"Q14318	Isoform 2 of Peptidyl-prolyl cis-trans isomerase FKBP8"	Q14318	FKBP8_HUMAN	Peptidyl-prolyl cis-trans isomerase FKBP8 (PPIase FKBP8) (EC 5.2.1.8) (38 kDa FK506-binding protein (38 kDa FKBP) (FKBP-38) (hFKBP38)) (FK506-binding protein 8 (FKBP-8)) (FKBPR38) (Rotamase)	FKBP8 FKBP38	Homo sapiens (Human)
"P46934	Isoform 4 of E3 ubiquitin-protein ligase NEDD4"	P46934	NEDD4_HUMAN	E3 ubiquitin-protein ligase NEDD4 (EC 2.3.2.26) (Cell proliferation-inducing gene 53 protein) (HECT-type E3 ubiquitin transferase NEDD4) (Neural precursor cell expressed developmentally down-regulated protein 4 (NEDD-4))	NEDD4 KIAA0093 NEDD4-1 RPF1	Homo sapiens (Human)
"P06753	Isoform 5 of Tropomyosin alpha-3 chain"	P06753	TPM3_HUMAN	Tropomyosin alpha-3 chain (Gamma-tropomyosin) (Tropomyosin-3) (Tropomyosin-5 (hTM5))	TPM3	Homo sapiens (Human)
"Q9C035	Isoform Epsilon of Tripartite motif-containing protein 5"	Q9C035	TRIM5_HUMAN	Tripartite motif-containing protein 5 (EC 2.3.2.27) (RING finger protein 88) (RING-type E3 ubiquitin transferase TRIM5)	TRIM5 RNF88	Homo sapiens (Human)
