Entry	Entry Name	Gene	Gene Names	Protein names	Reviewed	Ribosomal	RP Gene	RP Nomenclature	RP Subunit	Evidence	N studies	N datasets	Studies	Cell lines	Systems	Datasets	Accessions	Source labels	Caveats	Notes
P05455	LA_HUMAN	SSB	SSB	Lupus La protein (La autoantigen) (La ribonucleoprotein) (Sjoegren syndrome type B antigen)	yes					cell-free	1	1	Ashour 2020	PDLF primary	cell-free lysate + MG	ashour-2020-cellfree	P05455	LA_HUMAN | Lupus La protein		
P05556	ITB1_HUMAN	ITGB1	ITGB1 FNRB MDF2 MSK12	Integrin beta-1 (Fibronectin receptor subunit beta) (Glycoprotein IIa) (VLA-4 subunit beta)	yes					cell-free	1	1	Ashour 2020	PDLF primary	cell-free lysate + MG	ashour-2020-cellfree	P05556	ITB1_HUMAN | Integrin beta-1		
P05783	K1C18_HUMAN	KRT18	KRT18 CYK18	Keratin, type I cytoskeletal 18 (Cell proliferation-inducing gene 46 protein) (Cytokeratin-18) (Keratin-18)	yes					in-cell	1	1	Donnellan 2022	Caov3 parental	in-cell, basal	donnellan-2022-caov3	P05783	P05783 | Keratin, type I cytoskeletal 18		
P06132	DCUP_HUMAN	UROD	UROD	Uroporphyrinogen decarboxylase	yes					in-cell	1	1	Donnellan 2022	Caov3 parental	in-cell, basal	donnellan-2022-caov3	P06132	P06132 | Uroporphyrinogen decarboxylase		
P06213	INSR_HUMAN	INSR	INSR	Insulin receptor	yes					in-cell	1	1	Donnellan 2022	OV90 parental	in-cell, basal	donnellan-2022-ov90	P06213	P06213 | Insulin receptor		
P06396	GELS_HUMAN	GSN	GSN	Gelsolin (AGEL) (Actin-depolymerizing factor) (Brevin)	yes					cell-free	1	1	Ashour 2020	PDLF primary	cell-free lysate + MG	ashour-2020-cellfree	P06396	GELS_HUMAN | Isoform 2 of Gelsolin		
P06454	PTMA_HUMAN	PTMA	PTMA TMSA	Prothymosin alpha	yes					cell-free	1	1	Irshad 2019	HMEC-1	cell-free lysate + 500 uM MG	irshad-2019-hmec1	P06454	Prothymosin alpha protein | PTMA		
P06703	S10A6_HUMAN	S100A6	S100A6 CACY	Protein S100-A6 (Calcyclin) (Growth factor-inducible protein 2A9) (MLN 4) (Prolactin receptor-associated protein) (S100 calcium-binding protein A6)	yes					cell-free	1	1	Ashour 2020	PDLF primary	cell-free lysate + MG	ashour-2020-cellfree	P06703	S10A6_HUMAN | Protein S100-A6		
P07099	HYEP_HUMAN	EPHX1	EPHX1 EPHX EPOX	Epoxide hydrolase 1 (Epoxide hydratase) (Microsomal epoxide hydrolase)	yes					cell-free	1	1	Ashour 2020	PDLF primary	cell-free lysate + MG	ashour-2020-cellfree	P07099	HYEP_HUMAN | Epoxide hydrolase 1		
P07203	GPX1_HUMAN	GPX1	GPX1	Glutathione peroxidase 1 (Cellular glutathione peroxidase) (Phospholipid-hydroperoxide glutathione peroxidase GPX1)	yes					in-cell	1	1	Donnellan 2022	Caov3 parental	in-cell, basal	donnellan-2022-caov3	P07203	A0A087WUQ6 | Glutathione peroxidase		
P07384	CAN1_HUMAN	CAPN1	CAPN1 CANPL1	Calpain-1 catalytic subunit (Calcium-activated neutral proteinase 1) (Calpain mu-type) (Calpain-1 large subunit) (Cell proliferation-inducing gene 30 protein) (Micromolar-calpain)	yes					in-cell	1	1	Donnellan 2022	WIL2-NS	in-cell, 500 uM MGO 24 h	donnellan-2022-wil2ns	P07384	P07384 | Calpain-1 catalytic subunit		
P07814	SYEP_HUMAN	EPRS1	EPRS1 EPRS GLNS PARS QARS QPRS	Bifunctional glutamate/proline--tRNA ligase (Bifunctional aminoacyl-tRNA synthetase) (Cell proliferation-inducing gene 32 protein) (Glutamatyl-prolyl-tRNA synthetase)	yes					cell-free	1	1	Irshad 2019	HMEC-1	cell-free lysate + 500 uM MG	irshad-2019-hmec1	P07814	Bifunctional glutamate/proline-tRNA ligase | EPRS		
P08123	CO1A2_HUMAN	COL1A2	COL1A2	Collagen alpha-2(I) chain (Alpha-2 type I collagen)	yes					cell-free	1	1	Ashour 2020	PDLF primary	cell-free lysate + MG	ashour-2020-cellfree	P08123	CO1A2_HUMAN | Collagen alpha-2(I) chain		
P08243	ASNS_HUMAN	ASNS	ASNS TS11	Asparagine synthetase [glutamine-hydrolyzing] (Cell cycle control protein TS11) (Glutamine-dependent asparagine synthetase)	yes					cell-free	1	1	Irshad 2019	HMEC-1	cell-free lysate + 500 uM MG	irshad-2019-hmec1	P08243	Asparagine synthetase [glutamine-hydrolyzing] | ASNS		
P09132	SRP19_HUMAN	SRP19	SRP19	Signal recognition particle 19 kDa protein	yes					in-cell	1	1	Donnellan 2022	WIL2-NS	in-cell, 500 uM MGO 24 h	donnellan-2022-wil2ns	A0A087WYR0	A0A087WYR0 | Signal recognition particle 19 kDa protein		
P09417	DHPR_HUMAN	QDPR	QDPR DHPR SDR33C1	Dihydropteridine reductase (HDHPR) (Quinoid dihydropteridine reductase) (Short chain dehydrogenase/reductase family 33C member 1)	yes					cell-free	1	1	Irshad 2019	HMEC-1	cell-free lysate + 500 uM MG	irshad-2019-hmec1	P09417	Dihydropteridine reductase | QDPR		
P09429	HMGB1_HUMAN	HMGB1	HMGB1 HMG1	High mobility group protein B1 (High mobility group protein 1)	yes					in-cell	1	1	Donnellan 2022	WIL2-NS	in-cell, 500 uM MGO 24 h	donnellan-2022-wil2ns	P09429	P09429 | High mobility group protein B1		
P09493	TPM1_HUMAN	TPM1	TPM1 C15orf13 TMSA	Tropomyosin alpha-1 chain (Alpha-tropomyosin) (Tropomyosin-1)	yes					cell-free	1	1	Irshad 2019	HMEC-1	cell-free lysate + 500 uM MG	irshad-2019-hmec1	P09493	Tropomyosin 1alpha | TPM1		
P09525	ANXA4_HUMAN	ANXA4	ANXA4 ANX4	Annexin A4 (35-beta calcimedin) (Annexin IV) (Annexin-4) (Carbohydrate-binding protein p33/p41) (Chromobindin-4) (Endonexin I) (Lipocortin IV) (P32.5) (PP4-X) (Placental anticoagulant protein II) (Protein II)	yes					cell-free	1	1	Ashour 2020	PDLF primary	cell-free lysate + MG	ashour-2020-cellfree	P09525	ANXA4_HUMAN | Annexin A4		
P09936	UCHL1_HUMAN	UCHL1	UCHL1	Ubiquitin carboxyl-terminal hydrolase isozyme L1 (Neuron cytoplasmic protein 9.5) (PGP 9.5) (Ubiquitin thioesterase L1)	yes					cell-free	1	1	Ashour 2020	PDLF primary	cell-free lysate + MG	ashour-2020-cellfree	P09936	UCHL1_HUMAN | Ubiquitin carboxyl-terminal hydrolase isozyme L1		
P0CG39	POTEJ_HUMAN	POTEJ	POTEJ	POTE ankyrin domain family member J	yes					in-cell	1	1	Donnellan 2022	PBL, 3 donors	ex vivo, basal	donnellan-2022-pbl	P0CG39	P0CG39 | POTE ankyrin domain family member J	donnellan-2022-pbl: primary cells, ex vivo	
P0DMV8	HS71A_HUMAN	HSPA1A	HSPA1A HSP72 HSPA1 HSX70	Heat shock 70 kDa protein 1A (Heat shock 70 kDa protein 1) (Heat shock protein family A member 1A)	yes					cell-free	1	1	Irshad 2019	HMEC-1	cell-free lysate + 500 uM MG	irshad-2019-hmec1	P0DMV8	Heat shock protein 70 kDa 1A | HSP71A		
P0DMV9	HS71B_HUMAN	HSPA1B	HSPA1B HSP72	Heat shock 70 kDa protein 1B (Heat shock 70 kDa protein 2) (Heat shock protein family A member 1B)	yes					in-cell	1	1	Alhujaily 2021	HEK293	in-cell, 131 uM MG 6 h	alhujaily-2021-hek293	P0DMV9	HSPA1B | Heat shock protein family A member 1B	alhujaily-2021-hek293: supplement covers ~21% of the 681 reported	
P0DP25	CALM3_HUMAN	CALM3	CALM3 CALML2 CAM3 CAMC CAMIII	Calmodulin-3	yes					cell-free	1	1	Ashour 2020	PDLF primary	cell-free lysate + MG	ashour-2020-cellfree	P0DP25	CALM3_HUMAN | Calmodulin		
P0DPF3	NBPF9_HUMAN	NBPF9	NBPF9	NBPF family member NBPF9 (Neuroblastoma breakpoint family member 9)	yes					in-cell	1	1	Zheng 2024	SH-SY5Y	in-cell, 0-1000 uM MGO	zheng-2024-shsy5y-fig4	P0DPF3	NBPF9	zheng-2024-shsy5y-fig4: recovered from Fig. 4 heatmap labels	
P10321	HLAC_HUMAN	HLA-C	HLA-C HLAC	HLA class I histocompatibility antigen, C alpha chain (HLA-Cw) (Human leukocyte antigen C)	yes					in-cell	1	1	Donnellan 2022	WIL2-NS	in-cell, 500 uM MGO 24 h	donnellan-2022-wil2ns	A2BF26	A2BF26 | HLA class I histocompatibility antigen, C alpha chain		
P10515	ODP2_HUMAN	DLAT	DLAT DLTA	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial (70 kDa mitochondrial autoantigen of primary biliary cirrhosis) (Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex) (M2 antigen complex 70 kDa subunit) (Pyruvate dehydrogenase complex component E2)	yes					in-cell	1	1	Zheng 2024	SH-SY5Y	in-cell, 0-1000 uM MGO	zheng-2024-shsy5y-fig4	P10515	DLAT	zheng-2024-shsy5y-fig4: recovered from Fig. 4 heatmap labels	
P10599	THIO_HUMAN	TXN	TXN TRDX TRX TRX1	Thioredoxin (ATL-derived factor) (Surface-associated sulphydryl protein)	yes					in-cell	1	1	Donnellan 2022	WIL2-NS	in-cell, 500 uM MGO 24 h	donnellan-2022-wil2ns	P10599	P10599 | Thioredoxin		
P10768	ESTD_HUMAN	ESD	ESD	S-formylglutathione hydrolase (Esterase D) (Methylumbelliferyl-acetate deacetylase)	yes					in-cell	1	1	Donnellan 2022	PBL, 3 donors	ex vivo, basal	donnellan-2022-pbl	P10768	P10768 | S-formylglutathione hydrolase	donnellan-2022-pbl: primary cells, ex vivo	
P11047	LAMC1_HUMAN	LAMC1	LAMC1 LAMB2	Laminin subunit gamma-1 (Laminin B2 chain) (Laminin-1 subunit gamma) (Laminin-10 subunit gamma) (Laminin-11 subunit gamma) (Laminin-2 subunit gamma) (Laminin-3 subunit gamma) (Laminin-4 subunit gamma) (Laminin-6 subunit gamma) (Laminin-7 subunit gamma) (Laminin-8 subunit gamma) (Laminin-9 subunit gamma) (S-laminin subunit gamma)	yes					cell-free	1	1	Ashour 2020	PDLF primary	cell-free lysate + MG	ashour-2020-cellfree	P11047	LAMC1_HUMAN | Laminin subunit gamma-1		
P11177	ODPB_HUMAN	PDHB	PDHB PHE1B	Pyruvate dehydrogenase E1 component subunit beta, mitochondrial	yes					in-cell	1	1	Donnellan 2022	WIL2-NS	in-cell, 500 uM MGO 24 h	donnellan-2022-wil2ns	P11177	P11177 | Pyruvate dehydrogenase E1 component subunit beta, mitochondrial		
P11216	PYGB_HUMAN	PYGB	PYGB	Glycogen phosphorylase, brain form	yes					cell-free	1	1	Irshad 2019	HMEC-1	cell-free lysate + 500 uM MG	irshad-2019-hmec1	P11216	Glycogen phosphorylase | PYGB		
P11388	TOP2A_HUMAN	TOP2A	TOP2A TOP2	DNA topoisomerase 2-alpha (DNA topoisomerase II, alpha isozyme)	yes					cell-free	1	1	Irshad 2019	HMEC-1	cell-free lysate + 500 uM MG	irshad-2019-hmec1	P11388	DNA topoisomerase 2-alpha | TOP2A		
P11908	PRPS2_HUMAN	PRPS2	PRPS2	Ribose-phosphate pyrophosphokinase 2 (PPRibP) (Phosphoribosyl pyrophosphate synthase II)	yes					cell-free	1	1	Irshad 2019	HMEC-1	cell-free lysate + 500 uM MG	irshad-2019-hmec1	P11908	Ribose-phosphate pyrophosphokinase 2 | PRPS2		
P11940	PABP1_HUMAN	PABPC1	PABPC1 PAB1 PABP PABP1 PABPC2	Polyadenylate-binding protein 1	yes					in-cell	1	1	Donnellan 2022	WIL2-NS	in-cell, 500 uM MGO 24 h	donnellan-2022-wil2ns	P11940	P11940 | Polyadenylate-binding protein 1		
P12074	CX6A1_HUMAN	COX6A1	COX6A1 COX6AL	Cytochrome c oxidase subunit 6A1, mitochondrial (Cytochrome c oxidase polypeptide VIa-liver) (Cytochrome c oxidase subunit VIA-liver)	yes					in-cell	1	1	Donnellan 2022	WIL2-NS	in-cell, 500 uM MGO 24 h	donnellan-2022-wil2ns	P12074	P12074 | Cytochrome c oxidase subunit 6A1, mitochondrial		
P12081	HARS1_HUMAN	HARS1	HARS1 HARS HRS	Histidine--tRNA ligase, cytoplasmic (Histidyl-tRNA synthetase)	yes					in-cell	1	1	Zheng 2024	SH-SY5Y	in-cell, 0-1000 uM MGO	zheng-2024-shsy5y-fig4	P12081	HARS1	zheng-2024-shsy5y-fig4: recovered from Fig. 4 heatmap labels	
P12110	CO6A2_HUMAN	COL6A2	COL6A2	Collagen alpha-2(VI) chain	yes					cell-free	1	1	Ashour 2020	PDLF primary	cell-free lysate + MG	ashour-2020-cellfree	P12110	CO6A2_HUMAN | Collagen alpha-2(VI) chain		
P12111	CO6A3_HUMAN	COL6A3	COL6A3	Collagen alpha-3(VI) chain	yes					cell-free	1	1	Ashour 2020	PDLF primary	cell-free lysate + MG	ashour-2020-cellfree	P12111	CO6A3_HUMAN | Collagen alpha-3(VI) chain		
P12814	ACTN1_HUMAN	ACTN1	ACTN1	Alpha-actinin-1 (Alpha-actinin cytoskeletal isoform) (F-actin cross-linking protein) (Non-muscle alpha-actinin-1)	yes					cell-free	1	1	Ashour 2020	PDLF primary	cell-free lysate + MG	ashour-2020-cellfree	P12814	ACTN1_HUMAN | Alpha-actinin-1		
P12955	PEPD_HUMAN	PEPD	PEPD PRD	Xaa-Pro dipeptidase (Imidodipeptidase) (Peptidase D) (Proline dipeptidase)	yes					in-cell	1	1	Donnellan 2022	WIL2-NS	in-cell, 500 uM MGO 24 h	donnellan-2022-wil2ns	A0A494C165	A0A494C165 | Xaa-Pro dipeptidase (Fragment)		
P13073	COX41_HUMAN	COX4I1	COX4I1 COX4	Cytochrome c oxidase subunit 4 isoform 1, mitochondrial (Cytochrome c oxidase polypeptide IV) (Cytochrome c oxidase subunit IV isoform 1)	yes					in-cell	1	1	Donnellan 2022	WIL2-NS	in-cell, 500 uM MGO 24 h	donnellan-2022-wil2ns	P13073	P13073 | Cytochrome c oxidase subunit 4 isoform 1, mitochondrial		
P13489	RINI_HUMAN	RNH1	RNH1 PRI RNH	Ribonuclease inhibitor (Placental ribonuclease inhibitor) (Ribonuclease/angiogenin inhibitor 1)	yes					in-cell	1	1	Zheng 2024	SH-SY5Y	in-cell, 0-1000 uM MGO	zheng-2024-shsy5y-fig4	P13489	RNH1	zheng-2024-shsy5y-fig4: recovered from Fig. 4 heatmap labels	
P13674	P4HA1_HUMAN	P4HA1	P4HA1 P4HA	Prolyl 4-hydroxylase subunit alpha-1 (Procollagen-proline,2-oxoglutarate-4-dioxygenase subunit alpha-1)	yes					cell-free	1	1	Ashour 2020	PDLF primary	cell-free lysate + MG	ashour-2020-cellfree	P13674	P4HA1_HUMAN | Prolyl 4-hydroxylase subunit alpha-1		
P13796	PLSL_HUMAN	LCP1	LCP1 PLS2	Plastin-2 (L-plastin) (LC64P) (Lymphocyte cytosolic protein 1)	yes					in-cell	1	1	Donnellan 2022	WIL2-NS	in-cell, 500 uM MGO 24 h	donnellan-2022-wil2ns	P13796	P13796 | Plastin-2		
P13797	PLST_HUMAN	PLS3	PLS3	Plastin-3 (T-fimbrin) (T-plastin)	yes					cell-free	1	1	Irshad 2019	HMEC-1	cell-free lysate + 500 uM MG	irshad-2019-hmec1	P13797	Plastin-3 | PLST		
P13804	ETFA_HUMAN	ETFA	ETFA	Electron transfer flavoprotein subunit alpha, mitochondrial	yes					cell-free	1	1	Irshad 2019	HMEC-1	cell-free lysate + 500 uM MG	irshad-2019-hmec1	P13804	Electron transfer flavoprotein subunit α, mitochondrial | ETFA		
P13995	MTDC_HUMAN	MTHFD2	MTHFD2 NMDMC	Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial	yes					in-cell	1	1	Donnellan 2022	WIL2-NS	in-cell, 500 uM MGO 24 h	donnellan-2022-wil2ns	P13995	P13995 | Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial		
P14174	MIF_HUMAN	MIF	MIF GLIF MMIF	Macrophage migration inhibitory factor (Glycosylation-inhibiting factor) (L-dopachrome isomerase) (L-dopachrome tautomerase) (Phenylpyruvate tautomerase)	yes					in-cell	1	1	Donnellan 2022	WIL2-NS	in-cell, 500 uM MGO 24 h	donnellan-2022-wil2ns	P14174	P14174 | Macrophage migration inhibitory factor		
P14314	GLU2B_HUMAN	PRKCSH	PRKCSH G19P1	Glucosidase 2 subunit beta (80K-H protein) (Glucosidase II subunit beta) (Protein kinase C substrate 60.1 kDa protein heavy chain)	yes					cell-free	1	1	Ashour 2020	PDLF primary	cell-free lysate + MG	ashour-2020-cellfree	P14314	GLU2B_HUMAN | Glucosidase 2 subunit beta		
P14317	HCLS1_HUMAN	HCLS1	HCLS1 HS1	Hematopoietic lineage cell-specific protein (Hematopoietic cell-specific LYN substrate 1) (LckBP1) (p75)	yes					in-cell	1	1	Donnellan 2022	WIL2-NS	in-cell, 500 uM MGO 24 h	donnellan-2022-wil2ns	P14317	P14317 | Hematopoietic lineage cell-specific protein		
P14678	RSMB_HUMAN	SNRPB	SNRPB COD SNRPB1	Small nuclear ribonucleoprotein-associated proteins B and B' (Sm protein B/B')	yes					in-cell	1	1	Donnellan 2022	WIL2-NS	in-cell, 500 uM MGO 24 h	donnellan-2022-wil2ns	P14678	P14678 | Small nuclear ribonucleoprotein-associated proteins B and B'		
P14735	IDE_HUMAN	IDE	IDE	Insulin-degrading enzyme (Abeta-degrading protease) (Insulin protease) (Insulysin)	yes					in-cell	1	1	Donnellan 2022	WIL2-NS	in-cell, 500 uM MGO 24 h	donnellan-2022-wil2ns	P14735	P14735 | Insulin-degrading enzyme		
P14866	HNRPL_HUMAN	HNRNPL	HNRNPL HNRPL	Heterogeneous nuclear ribonucleoprotein L	yes					in-cell	1	1	Donnellan 2022	WIL2-NS	in-cell, 500 uM MGO 24 h	donnellan-2022-wil2ns	P14866	P14866 | Heterogeneous nuclear ribonucleoprotein L		
P14868	SYDC_HUMAN	DARS1	DARS1 DARS	Aspartate--tRNA ligase, cytoplasmic (Aspartyl-tRNA synthetase) (Cell proliferation-inducing gene 40 protein)	yes					cell-free	1	1	Irshad 2019	HMEC-1	cell-free lysate + 500 uM MG	irshad-2019-hmec1	P14868	Aspartate-tRNA ligase, cytoplasmic | DARS		
P15170	ERF3A_HUMAN	GSPT1	GSPT1 ERF3A	Eukaryotic peptide chain release factor GTP-binding subunit ERF3A (G1 to S phase transition protein 1 homolog)	yes					in-cell	1	1	Donnellan 2022	WIL2-NS	in-cell, 500 uM MGO 24 h	donnellan-2022-wil2ns	P15170	P15170 | Isoform 3 of Eukaryotic peptide chain release factor GTP-binding subunit ERF3A		
P16104	H2AX_HUMAN	H2AX	H2AX H2AFX	Histone H2AX (Histone H2A.X)	yes					in-cell	1	1	Donnellan 2022	WIL2-NS	in-cell, 500 uM MGO 24 h	donnellan-2022-wil2ns	P16104	P16104 | Histone H2AX		
P16615	AT2A2_HUMAN	ATP2A2	ATP2A2 ATP2B	Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 (Calcium pump 2) (Calcium-transporting ATPase sarcoplasmic reticulum type, slow twitch skeletal muscle isoform) (Endoplasmic reticulum class 1/2 Ca(2+) ATPase)	yes					in-cell	1	1	Donnellan 2022	WIL2-NS	in-cell, 500 uM MGO 24 h	donnellan-2022-wil2ns	P16615	P16615 | Sarcoplasmic/endoplasmic reticulum calcium ATPase 2		
P16870	CBPE_HUMAN	CPE	CPE	Carboxypeptidase E (Carboxypeptidase H) (Enkephalin convertase) (Prohormone-processing carboxypeptidase)	yes					in-cell	1	1	Alhujaily 2021	HEK293	in-cell, 131 uM MG 6 h	alhujaily-2021-hek293	P16870	CPE | Carboxypeptidase E	alhujaily-2021-hek293: supplement covers ~21% of the 681 reported	
P16949	STMN1_HUMAN	STMN1	STMN1 C1orf215 LAP18 OP18	Stathmin (Leukemia-associated phosphoprotein p18) (Metablastin) (Oncoprotein 18) (Phosphoprotein p19) (Prosolin) (Protein Pr22) (pp17)	yes					in-cell	1	1	Donnellan 2022	WIL2-NS	in-cell, 500 uM MGO 24 h	donnellan-2022-wil2ns	P16949	P16949 | Stathmin		
P17812	PYRG1_HUMAN	CTPS1	CTPS1 CTPS	CTP synthase 1 (CTP synthetase 1) (Protein-asparagine deamidase CTPS1) (UTP--ammonia ligase 1)	yes					in-cell	1	1	Zheng 2024	SH-SY5Y	in-cell, 0-1000 uM MGO	zheng-2024-shsy5y-fig4	P17812	CTPS1	zheng-2024-shsy5y-fig4: recovered from Fig. 4 heatmap labels	
P17987	TCPA_HUMAN	TCP1	TCP1 CCT1 CCTA	T-complex protein 1 subunit alpha (CCT-alpha) (Chaperonin containing T-complex polypeptide 1 subunit 1)	yes					cell-free	1	1	Irshad 2019	HMEC-1	cell-free lysate + 500 uM MG	irshad-2019-hmec1	P17987	T-complex protein 1 subunit alpha | TCP1		
P18669	PGAM1_HUMAN	PGAM1	PGAM1 PGAMA	Phosphoglycerate mutase 1 (BPG-dependent PGAM 1) (Phosphoglycerate mutase isozyme B)	yes					cell-free	1	1	Irshad 2019	HMEC-1	cell-free lysate + 500 uM MG	irshad-2019-hmec1	P18669	Phosphoglycerate mutase 1 | PGAM1		
P19474	RO52_HUMAN	TRIM21	TRIM21 RNF81 RO52 SSA1	E3 ubiquitin-protein ligase TRIM21 (52 kDa Ro protein) (52 kDa ribonucleoprotein autoantigen Ro/SS-A) (RING finger protein 81) (Ro(SS-A)) (Sjoegren syndrome type A antigen) (Tripartite motif-containing protein 21)	yes					in-cell	1	1	Alhujaily 2021	HEK293	in-cell, 131 uM MG 6 h	alhujaily-2021-hek293	P19474	TRIM21 | E3 ubiquitin-protein ligase TRIM21	alhujaily-2021-hek293: supplement covers ~21% of the 681 reported	
P19623	SPEE_HUMAN	SRM	SRM SPS1 SRML1	Spermidine synthase (Putrescine aminopropyltransferase)	yes					in-cell	1	1	Donnellan 2022	WIL2-NS	in-cell, 500 uM MGO 24 h	donnellan-2022-wil2ns	P19623	P19623 | Spermidine synthase		
P19784	CSK22_HUMAN	CSNK2A2	CSNK2A2 CK2A2	Casein kinase II subunit alpha'	yes					in-cell	1	1	Alhujaily 2021	HEK293	in-cell, 131 uM MG 6 h	alhujaily-2021-hek293	P19784	CSNK2A2 | Casein kinase II subunit alpha'	alhujaily-2021-hek293: supplement covers ~21% of the 681 reported	
P20366	TKN1_HUMAN	TAC1	TAC1 NKA NKNA TAC2	Protachykinin-1 (PPT)	yes					in-cell	1	1	Alhujaily 2021	HEK293	in-cell, 131 uM MG 6 h	alhujaily-2021-hek293	P20366	Protachykinin-1	alhujaily-2021-hek293: supplement covers ~21% of the 681 reported	
P20648	ATP4A_HUMAN	ATP4A	ATP4A	Potassium-transporting ATPase alpha chain 1 (Gastric H(+)/K(+) ATPase subunit alpha) (Proton pump)	yes					in-cell	1	1	Zheng 2024	SH-SY5Y	in-cell, 0-1000 uM MGO	zheng-2024-shsy5y-fig4	P20648	ATP4A	zheng-2024-shsy5y-fig4: recovered from Fig. 4 heatmap labels	
P20929	NEBU_HUMAN	NEB	NEB	Nebulin	yes					in-cell	1	1	Donnellan 2022	WIL2-NS	in-cell, 500 uM MGO 24 h	donnellan-2022-wil2ns	P20929	P20929 | Nebulin		
P21796	VDAC1_HUMAN	VDAC1	VDAC1 VDAC	Non-selective voltage-gated ion channel VDAC1 (Outer mitochondrial membrane protein porin 1) (Plasmalemmal porin) (Porin 31HL) (Porin 31HM) (Voltage-dependent anion-selective channel protein 1)	yes					cell-free	1	1	Ashour 2020	PDLF primary	cell-free lysate + MG	ashour-2020-cellfree	P21796	VDAC1_HUMAN | Voltage-dependent anion- selective channel protein 1		
P22314	UBA1_HUMAN	UBA1	UBA1 A1S9T UBE1	Ubiquitin-like modifier-activating enzyme 1 (Protein A1S9) (Ubiquitin-activating enzyme E1)	yes					cell-free	1	1	Irshad 2019	HMEC-1	cell-free lysate + 500 uM MG	irshad-2019-hmec1	P22314	Ubiquitin-like modifier-activating enzyme 1 | UBA1		
P22392	NDKB_HUMAN	NME2	NME2 NDK2 NM23B	Nucleoside diphosphate kinase B (C-myc purine-binding transcription factor PUF) (Histidine protein kinase NDKB) (Nucleoside diphoshate kinase 2) (nm23-H2)	yes					cell-free	1	1	Ashour 2020	PDLF primary	cell-free lysate + MG	ashour-2020-cellfree	P22392	NDKB_HUMAN | Isoform 3 of Nucleoside diphosphate kinase B		
P22830	HEMH_HUMAN	FECH	FECH	Ferrochelatase, mitochondrial (Heme synthase) (Protoheme ferro-lyase)	yes					in-cell	1	1	Donnellan 2022	Caov3 parental	in-cell, basal	donnellan-2022-caov3	P22830	P22830 | Ferrochelatase, mitochondrial		
P23083	HV102_HUMAN	IGHV1-2	IGHV1-2	Immunoglobulin heavy variable 1-2 (Ig heavy chain V-I region ND) (Ig heavy chain V-I region V35)	yes					in-cell	1	1	Donnellan 2022	WIL2-NS	in-cell, 500 uM MGO 24 h	donnellan-2022-wil2ns	P23083	P23083 | Immunoglobulin heavy variable 1-2		
P23246	SFPQ_HUMAN	SFPQ	SFPQ PSF	Splicing factor, proline- and glutamine-rich (100 kDa DNA-pairing protein) (DNA-binding p52/p100 complex, 100 kDa subunit) (Polypyrimidine tract-binding protein-associated-splicing factor)	yes					in-cell	1	1	Donnellan 2022	WIL2-NS	in-cell, 500 uM MGO 24 h	donnellan-2022-wil2ns	P23246	P23246 | Splicing factor, proline- and glutamine-rich		
P23588	IF4B_HUMAN	EIF4B	EIF4B	Eukaryotic translation initiation factor 4B	yes					cell-free	1	1	Ashour 2020	PDLF primary	cell-free lysate + MG	ashour-2020-cellfree	P23588	IF4B_HUMAN | Eukaryotic translation initiation factor 4B		
P25788	PSA3_HUMAN	PSMA3	PSMA3 HC8 PSC8	Proteasome subunit alpha type-3 (Macropain subunit C8) (Multicatalytic endopeptidase complex subunit C8) (Proteasome component C8) (Proteasome subunit alpha-7)	yes					cell-free	1	1	Irshad 2019	HMEC-1	cell-free lysate + 500 uM MG	irshad-2019-hmec1	P25788	Proteasome subunit A3 | PSMA3		
P26196	DDX6_HUMAN	DDX6	DDX6 HLR2 RCK	Probable ATP-dependent RNA helicase DDX6 (ATP-dependent RNA helicase p54) (DEAD box protein 6) (Oncogene RCK)	yes					in-cell	1	1	Donnellan 2022	WIL2-NS	in-cell, 500 uM MGO 24 h	donnellan-2022-wil2ns	P26196	P26196 | Probable ATP-dependent RNA helicase DDX6		
P26583	HMGB2_HUMAN	HMGB2	HMGB2 HMG2	High mobility group protein B2 (High mobility group protein 2)	yes					in-cell	1	1	Donnellan 2022	WIL2-NS	in-cell, 500 uM MGO 24 h	donnellan-2022-wil2ns	P26583	P26583 | High mobility group protein B2		
P26640	SYVC_HUMAN	VARS1	VARS1 G7A VARS VARS2	Valine--tRNA ligase (Protein G7a) (Valyl-tRNA synthetase)	yes					in-cell	1	1	Zheng 2024	SH-SY5Y	in-cell, 0-1000 uM MGO	zheng-2024-shsy5y-fig4	P26640	VARS1	zheng-2024-shsy5y-fig4: recovered from Fig. 4 heatmap labels	
P27695	APEX1_HUMAN	APEX1	APEX1 APE APE1 APEX APX HAP1 REF1	DNA repair nuclease/redox regulator APEX1 (APEX nuclease) (Apurinic-apyrimidinic endonuclease 1) (DNA-(apurinic or apyrimidinic site) endonuclease) (Redox factor-1)	yes					in-cell	1	1	Zheng 2024	SH-SY5Y	in-cell, 0-1000 uM MGO	zheng-2024-shsy5y-fig4	P27695	APEX1	zheng-2024-shsy5y-fig4: recovered from Fig. 4 heatmap labels	
