Entry	Entry Name	Gene	Gene Names	Protein names	Reviewed	Ribosomal	RP Gene	RP Nomenclature	RP Subunit	Evidence	N studies	N datasets	Studies	Cell lines	Systems	Datasets	Accessions	Source labels	Caveats	Notes
P46778	RL21_HUMAN	RPL21	RPL21	Large ribosomal subunit protein eL21 (60S ribosomal protein L21)	yes	yes	RPL21	eL21	60S	in-cell	1	1	Donnellan 2022	WIL2-NS	in-cell, 500 uM MGO 24 h	donnellan-2022-wil2ns	P46778	P46778 | 60S ribosomal protein L21		
P46781	RS9_HUMAN	RPS9	RPS9	Small ribosomal subunit protein uS4 (40S ribosomal protein S9)	yes	yes	RPS9	uS4	40S	cell-free	1	1	Irshad 2019	HMEC-1	cell-free lysate + 500 uM MG	irshad-2019-hmec1	P46781	40S ribosomal protein S9 | RPS9		
P46783	RS10_HUMAN	RPS10	RPS10	Small ribosomal subunit protein eS10 (40S ribosomal protein S10)	yes	yes	RPS10	eS10	40S	cell-free	1	1	Irshad 2019	HMEC-1	cell-free lysate + 500 uM MG	irshad-2019-hmec1	P46783	40S ribosomal protein S10 | RPS10		
P61247	RS3A_HUMAN	RPS3A	RPS3A FTE1 MFTL	Small ribosomal subunit protein eS1 (40S ribosomal protein S3a) (v-fos transformation effector protein)	yes	yes	RPS3A	eS1	40S	cell-free	1	1	Irshad 2019	HMEC-1	cell-free lysate + 500 uM MG	irshad-2019-hmec1	P61247	40S ribosomal protein S3a | RPS3A		
P61313	RL15_HUMAN	RPL15	RPL15 EC45	Large ribosomal subunit protein eL15 (60S ribosomal protein L15)	yes	yes	RPL15	eL15	60S	cell-free	1	1	Irshad 2019	HMEC-1	cell-free lysate + 500 uM MG	irshad-2019-hmec1	P61313	Ribosomal protein L15 | RL15		
P61353	RL27_HUMAN	RPL27	RPL27	Large ribosomal subunit protein eL27 (60S ribosomal protein L27)	yes	yes	RPL27	eL27	60S	cell-free	1	1	Irshad 2019	HMEC-1	cell-free lysate + 500 uM MG	irshad-2019-hmec1	P61353	60S ribosomal protein L27 | RPL27		
P62081	RS7_HUMAN	RPS7	RPS7	Small ribosomal subunit protein eS7 (40S ribosomal protein S7)	yes	yes	RPS7	eS7	40S	cell-free	1	1	Irshad 2019	HMEC-1	cell-free lysate + 500 uM MG	irshad-2019-hmec1	P62081	40S ribosomal protein S7 | TPD54		
P62241	RS8_HUMAN	RPS8	RPS8	Small ribosomal subunit protein eS8 (40S ribosomal protein S8)	yes	yes	RPS8	eS8	40S	cell-free	1	1	Irshad 2019	HMEC-1	cell-free lysate + 500 uM MG	irshad-2019-hmec1	P62241	40S ribosomal protein S8 | RPS8		
P62263	RS14_HUMAN	RPS14	RPS14	Small ribosomal subunit protein uS11 (40S ribosomal protein S14)	yes	yes	RPS14	uS11	40S	in-cell	1	1	Donnellan 2022	Caov3 parental	in-cell, basal	donnellan-2022-caov3	A0A2R8Y811	A0A2R8Y811 | 40S ribosomal protein S14 (Fragment)		
P62269	RS18_HUMAN	RPS18	RPS18 D6S218E	Small ribosomal subunit protein uS13 (40S ribosomal protein S18) (Ke-3)	yes	yes	RPS18	uS13	40S	cell-free	1	1	Irshad 2019	HMEC-1	cell-free lysate + 500 uM MG	irshad-2019-hmec1	P62269	40S ribosomal protein S18 | RPS18		
P62280	RS11_HUMAN	RPS11	RPS11	Small ribosomal subunit protein uS17 (40S ribosomal protein S11)	yes	yes	RPS11	uS17	40S	cell-free	1	1	Irshad 2019	HMEC-1	cell-free lysate + 500 uM MG	irshad-2019-hmec1	P62280	40S ribosomal protein S11 | RPS11		
P62750	RL23A_HUMAN	RPL23A	RPL23A	Large ribosomal subunit protein uL23 (60S ribosomal protein L23a)	yes	yes	RPL23A	uL23	60S	cell-free	1	1	Irshad 2019	HMEC-1	cell-free lysate + 500 uM MG	irshad-2019-hmec1	P62750	60S ribosomal protein L23a | RPL23A		
P62841	RS15_HUMAN	RPS15	RPS15 RIG	Small ribosomal subunit protein uS19 (40S ribosomal protein S15) (RIG protein)	yes	yes	RPS15	uS19	40S	in-cell	1	1	Donnellan 2022	WIL2-NS	in-cell, 500 uM MGO 24 h	donnellan-2022-wil2ns	P62841	P62841 | 40S ribosomal protein S15		
P62851	RS25_HUMAN	RPS25	RPS25	Small ribosomal subunit protein eS25 (40S ribosomal protein S25)	yes	yes	RPS25	eS25	40S	in-cell	1	1	Donnellan 2022	WIL2-NS	in-cell, 500 uM MGO 24 h	donnellan-2022-wil2ns	P62851	P62851 | 40S ribosomal protein S25		
P62854	RS26_HUMAN	RPS26	RPS26	Small ribosomal subunit protein eS26 (40S ribosomal protein S26)	yes	yes	RPS26	eS26	40S	in-cell	1	1	Donnellan 2022	WIL2-NS	in-cell, 500 uM MGO 24 h	donnellan-2022-wil2ns	P62854	P62854 | 40S ribosomal protein S26		
P62857	RS28_HUMAN	RPS28	RPS28	Small ribosomal subunit protein eS28 (40S ribosomal protein S28)	yes	yes	RPS28	eS28	40S	cell-free	1	1	Ashour 2020	PDLF primary	cell-free lysate + MG	ashour-2020-cellfree	P62857	RS28_HUMAN | 40S ribosomal protein S28		
P62888	RL30_HUMAN	RPL30	RPL30	Large ribosomal subunit protein eL30 (60S ribosomal protein L30)	yes	yes	RPL30	eL30	60S	cell-free	1	1	Irshad 2019	HMEC-1	cell-free lysate + 500 uM MG	irshad-2019-hmec1	P62888	60S ribosomal protein L30 | RPL30		
P62906	RL10A_HUMAN	RPL10A	RPL10A NEDD6	Large ribosomal subunit protein uL1 (60S ribosomal protein L10a) (CSA-19) (Neural precursor cell expressed developmentally down-regulated protein 6)	yes	yes	RPL10A	uL1	60S	cell-free	1	1	Irshad 2019	HMEC-1	cell-free lysate + 500 uM MG	irshad-2019-hmec1	P62906	60S ribosomal protein L10a | RPL10A		
P62917	RL8_HUMAN	RPL8	RPL8	Large ribosomal subunit protein uL2 (60S ribosomal protein L8)	yes	yes	RPL8	uL2	60S	in-cell	1	1	Zheng 2024	SH-SY5Y	in-cell, 0-1000 uM MGO	zheng-2024-shsy5y-fig4	P62917	RPL8	zheng-2024-shsy5y-fig4: recovered from Fig. 4 heatmap labels	
