From	Entry	Entry Name	Protein names	Gene Names	Organism	Source	Notes
"Q06710	Paired box protein Pax-8"	Q06710	PAX8_HUMAN	Paired box protein Pax-8	PAX8	Homo sapiens (Human)	auto	
"Q5JVF3	PCI domain-containing protein 2"	Q5JVF3	PCID2_HUMAN	PCI domain-containing protein 2 (CSN12-like protein)	PCID2	Homo sapiens (Human)	auto	
"O15067	Phosphoribosylformylglycinamidine synthase"	O15067	PUR4_HUMAN	Phosphoribosylformylglycinamidine synthase (FGAM synthase) (FGAMS) (EC 6.3.5.3) (Formylglycinamide ribonucleotide amidotransferase (FGAR amidotransferase) (FGAR-AT)) (Formylglycinamide ribotide amidotransferase) (Phosphoribosylformylglycineamide amidotransferase)	PFAS KIAA0361	Homo sapiens (Human)	auto	
"Q10471	Polypeptide N-acetylgalactosaminyltransferase 2"	Q10471	GALT2_HUMAN	Polypeptide N-acetylgalactosaminyltransferase 2 (EC 2.4.1.41) (Polypeptide GalNAc transferase 2 (GalNAc-T2) (pp-GaNTase 2)) (Protein-UDP acetylgalactosaminyltransferase 2) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 2)	GALNT2	Homo sapiens (Human)	auto	
"Q8IY21	Probable ATP-dependent RNA helicase DDX60"	Q8IY21	DDX60_HUMAN	Probable ATP-dependent RNA helicase DDX60 (EC 3.6.4.13) (DEAD box protein 60)	DDX60	Homo sapiens (Human)	auto	
"Q9Y3A2	Probable U3 small nucleolar RNA-associated protein 11"	Q9Y3A2	UTP11_HUMAN	Probable U3 small nucleolar RNA-associated protein 11 (U3 snoRNA-associated protein 11) (UTP11-like protein)	UTP11 UTP11L	Homo sapiens (Human)	auto	
"Q92733	Proline-rich protein PRCC"	Q92733	PRCC_HUMAN	Proline-rich protein PRCC (Papillary renal cell carcinoma translocation-associated gene protein)	PRCC TPRC	Homo sapiens (Human)	auto	
"J3KN16	Proteasome adapter and scaffold protein ECM29"	J3KN16	J3KN16_HUMAN	Proteasome adapter and scaffold protein ECM29 (Proteasome-associated protein ECM29 homolog)	ECPAS	Homo sapiens (Human)	auto	
"P28062	Proteasome subunit beta type-8"	P28062	PSB8_HUMAN	Proteasome subunit beta type-8 (EC 3.4.25.1) (Low molecular mass protein 7) (Macropain subunit C13) (Multicatalytic endopeptidase complex subunit C13) (Proteasome component C13) (Proteasome subunit beta-5i) (Really interesting new gene 10 protein)	PSMB8 LMP7 PSMB5i RING10 Y2	Homo sapiens (Human)	auto	
"Q86UE4	Protein LYRIC"	Q86UE4	LYRIC_HUMAN	Protein LYRIC (3D3/LYRIC) (Astrocyte elevated gene-1 protein (AEG-1)) (Lysine-rich CEACAM1 co-isolated protein) (Metadherin) (Metastasis adhesion protein)	MTDH AEG1 LYRIC	Homo sapiens (Human)	auto	
