From	Entry	Entry Name	Protein names	Gene Names	Organism	Source	Notes
"GLU2B_HUMAN	Glucosidase 2 subunit beta"	P14314	GLU2B_HUMAN	Glucosidase 2 subunit beta (80K-H protein) (Glucosidase II subunit beta) (Protein kinase C substrate 60.1 kDa protein heavy chain (PKCSH))	PRKCSH G19P1	Homo sapiens (Human)	auto	
"DHE3_HUMAN	Glutamate dehydrogenase 1, mitochondrial"	P00367	DHE3_HUMAN	Glutamate dehydrogenase 1, mitochondrial (GDH 1) (EC 1.4.1.3)	GLUD1 GLUD	Homo sapiens (Human)	auto	
"HNRPQ_HUMAN	Heterogeneous nuclear ribonucleoprotein Q"	O60506	HNRPQ_HUMAN	Heterogeneous nuclear ribonucleoprotein Q (hnRNP Q) (Glycine- and tyrosine-rich RNA-binding protein (GRY-RBP)) (NS1-associated protein 1) (Synaptotagmin-binding, cytoplasmic RNA-interacting protein)	SYNCRIP HNRPQ NSAP1	Homo sapiens (Human)	auto	
"ROA1_HUMAN	Isoform 2 of Heterogeneous nuclear ribonucleoprotein A1"	P09651	ROA1_HUMAN	Heterogeneous nuclear ribonucleoprotein A1 (hnRNP A1) (Helix-destabilizing protein) (Single-strand RNA-binding protein) (hnRNP core protein A1)	HNRNPA1 HNRPA1	Homo sapiens (Human)	auto	
"PLIN3_HUMAN	Isoform 4 of Perilipin-3"	O60664	PLIN3_HUMAN	Perilipin-3 (47 kDa mannose 6-phosphate receptor-binding protein (47 kDa MPR-binding protein)) (Cargo selection protein TIP47) (Mannose-6-phosphate receptor-binding protein 1) (Placental protein 17 (PP17))	PLIN3 M6PRBP1 TIP47	Homo sapiens (Human)	auto	
"PGK1_HUMAN	Phosphoglycerate kinase 1"	P00558	PGK1_HUMAN	Phosphoglycerate kinase 1 (EC 2.7.11.1) (EC 2.7.2.3) (Cell migration-inducing gene 10 protein) (Primer recognition protein 2 (PRP 2))	PGK1 PGKA	Homo sapiens (Human)	auto	
"PDIA3_HUMAN	Protein disulfide-isomerase A3"	P30101	PDIA3_HUMAN	Protein disulfide-isomerase A3 (EC 5.3.4.1) (58 kDa glucose-regulated protein) (58 kDa microsomal protein (p58)) (Disulfide isomerase ER-60) (Endoplasmic reticulum resident protein 57 (ER protein 57) (ERp57)) (Endoplasmic reticulum resident protein 60 (ER protein 60) (ERp60))	PDIA3 ERP57 ERP60 GRP58	Homo sapiens (Human)	auto	
"RRBP1_HUMAN	Ribosome-binding protein 1"	Q9P2E9	RRBP1_HUMAN	Ribosome-binding protein 1 (180 kDa ribosome receptor homolog (RRp)) (ES/130-related protein) (Ribosome receptor protein)	RRBP1 KIAA1398	Homo sapiens (Human)	auto	
"TPM4_HUMAN	Tropomyosin alpha-4 chain"	P67936	TPM4_HUMAN	Tropomyosin alpha-4 chain (TM30p1) (Tropomyosin-4)	TPM4	Homo sapiens (Human)	auto	
"VINC_HUMAN	Vinculin"	P18206	VINC_HUMAN	Vinculin (Metavinculin (MV))	VCL	Homo sapiens (Human)	auto	
