From	Entry	Entry Name	Protein names	Gene Names	Organism	Source	Notes
P48643	P48643	TCPE_HUMAN	T-complex protein 1 subunit epsilon (TCP-1-epsilon) (EC 3.6.1.-) (CCT-epsilon) (Chaperonin containing T-complex polypeptide 1 subunit 5)	CCT5 CCTE KIAA0098	Homo sapiens (Human)	auto	
CCT7	Q99832	TCPH_HUMAN	T-complex protein 1 subunit eta (TCP-1-eta) (EC 3.6.1.-) (CCT-eta) (Chaperonin containing T-complex polypeptide 1 subunit 7) (HIV-1 Nef-interacting protein)	CCT7 CCTH NIP7-1	Homo sapiens (Human)	auto	
CCT8	P50990	TCPQ_HUMAN	T-complex protein 1 subunit theta (TCP-1-theta) (EC 3.6.1.-) (CCT-theta) (Chaperonin containing T-complex polypeptide 1 subunit 8) (Renal carcinoma antigen NY-REN-15)	CCT8 C21orf112 CCTQ KIAA0002	Homo sapiens (Human)	auto	
CDH23	Q9H251	CAD23_HUMAN	Cadherin-23 (Otocadherin)	CDH23 KIAA1774 KIAA1812	Homo sapiens (Human)	auto	
CEP162	Q5TB80	CE162_HUMAN	Centrosomal protein of 162 kDa (Cep162) (Protein QN1 homolog)	CEP162 C6orf84 KIAA1009 QN1	Homo sapiens (Human)	auto	
CTPS1	P17812	PYRG1_HUMAN	CTP synthase 1 (EC 6.3.4.2) (CTP synthetase 1) (Protein-asparagine deamidase CTPS1 (EC 3.5.1.-)) (UTP--ammonia ligase 1)	CTPS1 CTPS	Homo sapiens (Human)	auto	
Q9UJW0	Q9UJW0	DCTN4_HUMAN	Dynactin subunit 4 (Dyn4) (Dynactin subunit p62)	DCTN4	Homo sapiens (Human)	auto	
A8MPP1	A8MPP1	D11L8_HUMAN	Putative ATP-dependent DNA helicase DDX11-like protein 8 (EC 5.6.2.-) (DEAD/H box protein 11-like 8)	DDX11L8	Homo sapiens (Human)	auto	
DIAPH2	O60879	DIAP2_HUMAN	Protein diaphanous homolog 2 (Diaphanous-related formin-2 (DRF2))	DIAPH2 DIA	Homo sapiens (Human)	auto	
DLAT	P10515	ODP2_HUMAN	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial (EC 2.3.1.12) (70 kDa mitochondrial autoantigen of primary biliary cirrhosis (PBC)) (Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex) (M2 antigen complex 70 kDa subunit) (Pyruvate dehydrogenase complex component E2 (PDC-E2) (PDCE2))	DLAT DLTA	Homo sapiens (Human)	auto	
Q96QB1	Q96QB1	RHG07_HUMAN	Rho GTPase-activating protein 7 (Deleted in liver cancer 1 protein (DLC-1)) (HP protein) (Rho-type GTPase-activating protein 7) (START domain-containing protein 12 (StARD12)) (StAR-related lipid transfer protein 12)	DLC1 ARHGAP7 KIAA1723 STARD12	Homo sapiens (Human)	auto	
DNMBP	Q6XZF7	DNMBP_HUMAN	Dynamin-binding protein (Scaffold protein Tuba)	DNMBP ARHGEF36 KIAA1010 TUBA	Homo sapiens (Human)	auto	
Q9H069	Q9H069	DRC3_HUMAN	Dynein regulatory complex subunit 3 (Leucine-rich repeat-containing protein 48)	DRC3 LRRC48	Homo sapiens (Human)	auto	
DSN1	Q9H410	DSN1_HUMAN	Kinetochore-associated protein DSN1 homolog	DSN1 C20orf172 MIS13	Homo sapiens (Human)	auto	
EEF1A1	P68104	EF1A1_HUMAN	Elongation factor 1-alpha 1 (EF-1-alpha-1) (EC 3.6.5.-) (Elongation factor Tu (EF-Tu)) (Eukaryotic elongation factor 1 A-1 (eEF1A-1)) (Leukocyte receptor cluster member 7)	EEF1A1 EEF1A EF1A LENG7	Homo sapiens (Human)	auto	
P26641	P26641	EF1G_HUMAN	Elongation factor 1-gamma (EF-1-gamma) (eEF-1B gamma)	EEF1G EF1G	Homo sapiens (Human)	auto	
P13639	P13639	EF2_HUMAN	Elongation factor 2 (EF-2) (EC 3.6.5.-)	EEF2 EF2	Homo sapiens (Human)	auto	
EIF5A	P63241	IF5A1_HUMAN	Eukaryotic translation initiation factor 5A-1 (eIF-5A-1) (eIF-5A1) (Eukaryotic initiation factor 5A isoform 1 (eIF-5A)) (Rev-binding factor) (eIF-4D)	EIF5A	Homo sapiens (Human)	auto	
EIF6	P56537	IF6_HUMAN	Eukaryotic translation initiation factor 6 (eIF-6) (B(2)GCN homolog) (B4 integrin interactor) (CAB) (p27(BBP))	EIF6 EIF3A ITGB4BP	Homo sapiens (Human)	auto	
ENAH	Q8N8S7	ENAH_HUMAN	Protein enabled homolog	ENAH MENA	Homo sapiens (Human)	auto	
P61550	P61550	ENVT1_HUMAN	Endogenous retrovirus group S71 member 1 Env polyprotein (Envelope polyprotein) (HERV-T Env protein) (HERV-T_19q13.11 provirus ancestral Env polyprotein)	ERVS71-1	Homo sapiens (Human)	auto	
FLOT1	O75955	FLOT1_HUMAN	Flotillin-1	FLOT1	Homo sapiens (Human)	auto	
Q8N3X1	Q8N3X1	FNBP4_HUMAN	Formin-binding protein 4 (Formin-binding protein 30)	FNBP4 FBP30 KIAA1014	Homo sapiens (Human)	auto	
GAPDH	P04406	G3P_HUMAN	Glyceraldehyde-3-phosphate dehydrogenase (GAPDH) (EC 1.2.1.12) (Peptidyl-cysteine S-nitrosylase GAPDH (EC 2.6.99.-))	GAPDH GAPD	Homo sapiens (Human)	auto	
P35557	P35557	HXK4_HUMAN	Hexokinase-4 (HK4) (EC 2.7.1.1) (Glucokinase) (Hexokinase type IV (HK IV)) (Hexokinase-D)	GCK	Homo sapiens (Human)	auto	
GKN2	Q86XP6	GKN2_HUMAN	Gastrokine-2 (Blottin) (Down-regulated in gastric cancer) (Trefoil factor interactions(z) 1)	GKN2 BLOT GDDR TFIZ1	Homo sapiens (Human)	auto	
GNB2	P62879	GBB2_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2 (G protein subunit beta-2) (Transducin beta chain 2)	GNB2	Homo sapiens (Human)	auto	
Q08378	Q08378	GOGA3_HUMAN	Golgin subfamily A member 3 (Golgi complex-associated protein of 170 kDa (GCP170)) (Golgin-160)	GOLGA3	Homo sapiens (Human)	auto	
GREB1L	Q9C091	GRB1L_HUMAN	GREB1-like protein (Growth regulation by estrogen in breast cancer 1-like protein)	GREB1L C18orf6 KIAA1772	Homo sapiens (Human)	auto	
GRHPR	Q9UBQ7	GRHPR_HUMAN	Glyoxylate reductase/hydroxypyruvate reductase (EC 1.1.1.79) (EC 1.1.1.81)	GRHPR GLXR	Homo sapiens (Human)	auto	
GSTP1	P09211	GSTP1_HUMAN	Glutathione S-transferase P (EC 2.5.1.18) (GST class-pi) (GSTP1-1)	GSTP1 FAEES3 GST3	Homo sapiens (Human)	auto	
H2AC18	Q6FI13	H2A2A_HUMAN	Histone H2A type 2-A (H2A-clustered histone 18) (H2A-clustered histone 19) (Histone H2A.2) (Histone H2A/o)	H2AC18 H2AFO HIST2H2AA HIST2H2AA3 H2AC19 HIST2H2AA4	Homo sapiens (Human)	auto	
Q5QNW6	Q5QNW6	H2B2F_HUMAN	Histone H2B type 2-F (H2B-clustered histone 18)	H2BC18 HIST2H2BF	Homo sapiens (Human)	auto	
H3C15	Q71DI3	H32_HUMAN	Histone H3.2 (H3-clustered histone 13) (H3-clustered histone 14) (H3-clustered histone 15) (Histone H3/m) (Histone H3/o)	H3C15 HIST2H3A H3C14 H3F2 H3FM HIST2H3C H3C13 HIST2H3D	Homo sapiens (Human)	auto	
HARS1	P12081	HARS1_HUMAN	Histidine--tRNA ligase, cytoplasmic (EC 6.1.1.21) (Histidyl-tRNA synthetase (HisRS))	HARS1 HARS HRS	Homo sapiens (Human)	auto	
P56524	P56524	HDAC4_HUMAN	Histone deacetylase 4 (HD4) (EC 3.5.1.98)	HDAC4 KIAA0288	Homo sapiens (Human)	auto	
P52789	P52789	HXK2_HUMAN	Hexokinase-2 (EC 2.7.1.1) (Hexokinase type II (HK II)) (Hexokinase-B) (Muscle form hexokinase)	HK2	Homo sapiens (Human)	auto	
P52790	P52790	HXK3_HUMAN	Hexokinase-3 (EC 2.7.1.1) (Hexokinase type III (HK III)) (Hexokinase-C)	HK3	Homo sapiens (Human)	auto	
HNRNPA1	P09651	ROA1_HUMAN	Heterogeneous nuclear ribonucleoprotein A1 (hnRNP A1) (Helix-destabilizing protein) (Single-strand RNA-binding protein) (hnRNP core protein A1)	HNRNPA1 HNRPA1	Homo sapiens (Human)	auto	
HSPA8	P11142	HSP7C_HUMAN	Heat shock cognate 71 kDa protein (EC 3.6.4.10) (Heat shock 70 kDa protein 8) (Heat shock protein family A member 8) (Lipopolysaccharide-associated protein 1 (LAP-1) (LPS-associated protein 1))	HSPA8 HSC70 HSP73 HSPA10	Homo sapiens (Human)	auto	
IDH2	P48735	IDHP_HUMAN	Isocitrate dehydrogenase [NADP], mitochondrial (IDH) (EC 1.1.1.42) (ICD-M) (IDP) (NADP(+)-specific ICDH) (Oxalosuccinate decarboxylase)	IDH2	Homo sapiens (Human)	auto	
P51553	P51553	IDH3G_HUMAN	Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial (Isocitric dehydrogenase subunit gamma) (NAD(+)-specific ICDH subunit gamma)	IDH3G	Homo sapiens (Human)	auto	
Q70UQ0	Q70UQ0	IKIP_HUMAN	Inhibitor of nuclear factor kappa-B kinase-interacting protein (I kappa-B kinase-interacting protein) (IKBKB-interacting protein) (IKK-interacting protein)	IKBIP IKIP	Homo sapiens (Human)	auto	
ILF3	Q12906	ILF3_HUMAN	Interleukin enhancer-binding factor 3 (Double-stranded RNA-binding protein 76 (DRBP76)) (M-phase phosphoprotein 4 (MPP4)) (Nuclear factor associated with dsRNA (NFAR)) (Nuclear factor of activated T-cells 90 kDa (NF-AT-90)) (Translational control protein 80 (TCP80))	ILF3 DRBF MPHOSPH4 NF90	Homo sapiens (Human)	auto	
IMPDH2	P12268	IMDH2_HUMAN	Inosine-5'-monophosphate dehydrogenase 2 (IMP dehydrogenase 2) (IMPD 2) (IMPDH 2) (EC 1.1.1.205) (Inosine-5'-monophosphate dehydrogenase type II (IMP dehydrogenase II) (IMPDH-II))	IMPDH2 IMPD2	Homo sapiens (Human)	auto	
O15397	O15397	IPO8_HUMAN	Importin-8 (Imp8) (Ran-binding protein 8 (RanBP8))	IPO8 RANBP8	Homo sapiens (Human)	auto	
Q96AA8	Q96AA8	JKIP2_HUMAN	Janus kinase and microtubule-interacting protein 2 (CTCL tumor antigen HD-CL-04) (Neuroendocrine long coiled-coil protein 1)	JAKMIP2 JAMIP2 KIAA0555 NECC1	Homo sapiens (Human)	auto	
KARS1	Q15046	SYK_HUMAN	Lysine--tRNA ligase (EC 2.7.7.-) (EC 6.1.1.6) (Lysyl-tRNA synthetase (LysRS))	KARS1 KARS KIAA0070	Homo sapiens (Human)	auto	
Q9H3R0	Q9H3R0	KDM4C_HUMAN	Lysine-specific demethylase 4C (EC 1.14.11.66) (Gene amplified in squamous cell carcinoma 1 protein (GASC-1 protein)) (JmjC domain-containing histone demethylation protein 3C) (Jumonji domain-containing protein 2C) ([histone H3]-trimethyl-L-lysine(9) demethylase 4C)	KDM4C GASC1 JHDM3C JMJD2C KIAA0780	Homo sapiens (Human)	auto	
Q8N8K9	Q8N8K9	K1958_HUMAN	Uncharacterized protein KIAA1958	KIAA1958	Homo sapiens (Human)	auto	
