From	Entry	Entry Name	Protein names	Gene Names	Organism	Source	Notes
"Sialic acid synthetase	NANS"	Q9NR45	SIAS_HUMAN	N-acetylneuraminate-9-phosphate synthase (EC 2.5.1.57) (3-deoxy-D-glycero-D-galacto-nononate 9-phosphate synthase (EC 2.5.1.132)) (N-acetylneuraminic acid phosphate synthase (NANS)) (Sialic acid phosphate synthase) (Sialic acid synthase)	NANS SAS	Homo sapiens (Human)	auto	
"Spectrin beta non-erythrocytic 1	SPTBN1"	Q01082	SPTB2_HUMAN	Spectrin beta chain, non-erythrocytic 1 (Beta-II spectrin) (Fodrin beta chain) (Spectrin, non-erythroid beta chain 1)	SPTBN1 SPTB2	Homo sapiens (Human)	auto	
"Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial	OXCT1"	P55809	SCOT1_HUMAN	Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial (SCOT) (EC 2.8.3.5) (3-oxoacid CoA-transferase 1) (Somatic-type succinyl-CoA:3-oxoacid CoA-transferase (SCOT-s)) (Succinyl-CoA:3-oxoacid CoA transferase)	OXCT1 OXCT SCOT	Homo sapiens (Human)	auto	
"T-complex protein 1 subunit zeta	CCT6A"	P40227	TCPZ_HUMAN	T-complex protein 1 subunit zeta (TCP-1-zeta) (EC 3.6.1.-) (Acute morphine dependence-related protein 2) (CCT-zeta-1) (Chaperonin containing T-complex polypeptide 1 subunit 6A) (HTR3) (Tcp20)	CCT6A CCT6 CCTZ	Homo sapiens (Human)	auto	
"T-complex protein 1 subunit alpha	TCP1"	P17987	TCPA_HUMAN	T-complex protein 1 subunit alpha (TCP-1-alpha) (EC 3.6.1.-) (CCT-alpha) (Chaperonin containing T-complex polypeptide 1 subunit 1)	TCP1 CCT1 CCTA	Homo sapiens (Human)	auto	
"T-complex protein 1 subunit epsilon	TPCE"	P48643	TCPE_HUMAN	T-complex protein 1 subunit epsilon (CCT-epsilon) (Chaperonin containing T-complex polypeptide 1 subunit 5)	CCT5 CCTE KIAA0098	Homo sapiens (Human)	user-reviewed	
"T-complex protein 1 subunit gamma	TPCG"	P49368	TCPG_HUMAN	T-complex protein 1 subunit gamma (CCT-gamma) (Chaperonin containing T-complex polypeptide 1 subunit 3) (hTRiC5)	CCT3 CCTG TRIC5	Homo sapiens (Human)	user-reviewed	
"TIP41-like protein	TIPRL"	O75663	TIPRL_HUMAN	TIP41-like protein (Putative MAPK-activating protein PM10) (Type 2A-interacting protein (TIP))	TIPRL	Homo sapiens (Human)	auto	
"Transaldolase	TALDO"	P37837	TALDO_HUMAN	Transaldolase (EC 2.2.1.2)	TALDO1 TAL TALDO TALDOR	Homo sapiens (Human)	auto	
"Transforming protein RhoA	RHOA"	P61586	RHOA_HUMAN	Transforming protein RhoA (EC 3.6.5.2) (Rho cDNA clone 12 (h12))	RHOA ARH12 ARHA RHO12	Homo sapiens (Human)	auto	
"Tropomyosin 1alpha	TPM1"	P09493	TPM1_HUMAN	Tropomyosin alpha-1 chain (Alpha-tropomyosin) (Tropomyosin-1)	TPM1 C15orf13 TMSA	Homo sapiens (Human)	auto	
"Tubulin beta-4B chain	TUBB4B"	P68371	TBB4B_HUMAN	Tubulin beta-4B chain (Tubulin beta-2 chain) (Tubulin beta-2C chain)	TUBB4B TUBB2C	Homo sapiens (Human)	auto	
"Tubulin beta-7 chain	B4DMJ5_HUMAN"	B4DMJ5	B4DMJ5_HUMAN	cDNA FLJ53012, highly similar to Tubulin beta-7 chain		Homo sapiens (Human)	auto	
"Ubiquitin carboxyl-terminal hydrolase	USP14"	P54578	UBP14_HUMAN	Ubiquitin carboxyl-terminal hydrolase 14 (EC 3.4.19.12) (Deubiquitinating enzyme 14) (Ubiquitin thioesterase 14) (Ubiquitin-specific-processing protease 14)	USP14 TGT	Homo sapiens (Human)	auto	
"Ubiquitin-like modifier-activating enzyme 1	UBA1"	P22314	UBA1_HUMAN	Ubiquitin-like modifier-activating enzyme 1 (EC 6.2.1.45) (Protein A1S9) (Ubiquitin-activating enzyme E1)	UBA1 A1S9T UBE1	Homo sapiens (Human)	auto	
"UDP-N-acetylhexosamine pyrophosphorylase	UAP1"	Q16222	UAP1_HUMAN	UDP-N-acetylhexosamine pyrophosphorylase (Antigen X (AGX)) (Protein-pyrophosphorylation enzyme (EC 2.7.4.-)) (Sperm-associated antigen 2) (UDP-N-acetylgalactosamine pyrophosphorylase (EC 2.7.7.83)) (UDP-N-acetylglucosamine pyrophosphorylase (EC 2.7.7.23))	UAP1 SPAG2	Homo sapiens (Human)	auto	
"UTP-glucose-1-phosphate uridylyltransferase 2	UGP2"	Q16851	UGPA_HUMAN	UTP--glucose-1-phosphate uridylyltransferase (EC 2.7.7.9) (UDP-glucose pyrophosphorylase (UDPGP) (UGPase))	UGP2 UGP1	Homo sapiens (Human)	auto	
"Vinculin	VINC"	P18206	VINC_HUMAN	Vinculin (Metavinculin (MV))	VCL	Homo sapiens (Human)	auto	
"X-ray repair cross-complementing protein 5	XRCC5"	P13010	XRCC5_HUMAN	DNA repair protein Ku80 (EC 4.2.99.18) (EC 5.6.2.4) (86 kDa subunit of Ku antigen) (ATP-dependent DNA helicase 2 subunit 2) (ATP-dependent DNA helicase II 80 kDa subunit) (CTC box-binding factor 85 kDa subunit (CTC85) (CTCBF)) (DNA repair protein XRCC5) (Ku80) (Ku86) (Lupus Ku autoantigen protein p86) (Nuclear factor IV) (Thyroid-lupus autoantigen (TLAA)) (X-ray repair complementing defective repair in Chinese hamster cells 5 (double-strand-break rejoining)) (X-ray repair cross-complementing protein 5)	XRCC5 G22P2	Homo sapiens (Human)	auto	
